BCM,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
12. Dự phòng phải trả dài hạn,,,,,
13. Quỹ phát triển khoa học và công nghệ,139,139,139,139,139
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"16,513","16,310","16,768","17,530","18,294"
I. Vốn chủ sở hữu,"16,513","16,310","16,768","17,530","18,294"
1. Vốn góp của chủ sở hữu,"10,350","10,350","10,350","10,350","10,350"
- Cổ phiếu phổ thông có quyền biểu quyết,"10,350","10,350","10,350","10,350","10,350"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,12,12,12,12,12
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,8,8,8,8,8
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,-185,-493,-493,-185,-185
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,936,936,"1,173","1,200","1,572"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"4,331","4,442","4,614","5,165","5,499"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"3,402","3,454","3,341","4,740","4,156"
- LNST chưa phân phối kỳ này,929,988,"1,273",425,"1,343"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"1,062","1,055","1,104",981,"1,038"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"48,535","48,253","48,565","49,504","49,816"
