BCM,Q2/2015,Q2/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/04-30/06,01/04-30/06,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"3,905",365,"1,973","1,974","2,118"
2. Các khoản giảm trừ doanh thu,10,,67,386,37
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"3,896",365,"1,907","1,587","2,081"
4. Giá vốn hàng bán,"3,630",205,"1,249",890,"1,508"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,266,159,658,698,573
6.Doanh thu hoạt động tài chính,39,62,9,61,29
7. Chi phí tài chính,89,72,179,211,166
Trong đó :Chi phí lãi vay,89,72,168,195,155
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,204,272,248
9. Chi phí bán hàng,96,113,110,183,130
10. Chi phí quản lý doanh nghiệp,45,36,86,91,99
11. Lợi nhuận thuần từ hoạt động kinh doanh,74,-1,496,546,456
12. Thu nhập khác,2,3,10,427,17
13. Chi phí khác,1,1,2,414,30
14. Lợi nhuận khác,1,2,7,13,-12
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,75,1,504,559,444
16. Chi phí thuế TNDN hiện hành,7,,20,111,26
17. Chi phí thuế TNDN hoãn lại,,,0,-22,-4
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,69,1,484,470,422
Lợi ích của cổ đông thiểu số,,,27,35,27
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,69,1,457,435,395
19. Lãi cơ bản trên cổ phiếu (*),,,,,372
20. Lãi suy giảm trên cổ phiếu (*),,,,,372
