BCM,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,640",883,"3,112","1,437","1,926"
2. Các khoản giảm trừ doanh thu,3,122,1,4,2
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,637",761,"3,111","1,433","1,925"
4. Giá vốn hàng bán,910,343,"1,632",613,970
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,727,418,"1,479",821,955
6.Doanh thu hoạt động tài chính,12,13,13,22,69
7. Chi phí tài chính,157,163,568,266,221
Trong đó :Chi phí lãi vay,157,162,347,266,221
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",340,113,270,170,411
9. Chi phí bán hàng,184,138,174,165,126
10. Chi phí quản lý doanh nghiệp,168,97,277,111,66
11. Lợi nhuận thuần từ hoạt động kinh doanh,569,146,743,472,"1,022"
12. Thu nhập khác,12,3,33,15,104
13. Chi phí khác,38,97,303,19,47
14. Lợi nhuận khác,-26,-94,-270,-4,57
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,543,52,473,468,"1,079"
16. Chi phí thuế TNDN hiện hành,46,2,141,77,101
17. Chi phí thuế TNDN hoãn lại,-8,,0,,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,506,50,331,391,979
Lợi ích của cổ đông thiểu số,33,2,47,-34,60
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,473,49,285,425,919
19. Lãi cơ bản trên cổ phiếu (*),367,47,185,274,752
20. Lãi suy giảm trên cổ phiếu (*),367,47,185,274,752
