BCM,Q2/2013,Q2/2014,Q2/2015,Q2/2017,Q1/2018
Giai đoạn,01/04-30/06,01/04-30/06,01/04-30/06,01/04-30/06,01/01-31/03
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,53,"1,689","3,905",365,"1,973"
2. Các khoản giảm trừ doanh thu,,,10,,67
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,53,"1,689","3,896",365,"1,907"
4. Giá vốn hàng bán,26,"1,436","3,630",205,"1,249"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,27,253,266,159,658
6.Doanh thu hoạt động tài chính,489,146,39,62,9
7. Chi phí tài chính,88,48,89,72,179
Trong đó :Chi phí lãi vay,49,45,89,72,168
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,204
9. Chi phí bán hàng,66,79,96,113,110
10. Chi phí quản lý doanh nghiệp,34,43,45,36,86
11. Lợi nhuận thuần từ hoạt động kinh doanh,329,228,74,-1,496
12. Thu nhập khác,1,4,2,3,10
13. Chi phí khác,1,0,1,1,2
14. Lợi nhuận khác,0,4,1,2,7
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,329,232,75,1,504
16. Chi phí thuế TNDN hiện hành,,17,7,,20
17. Chi phí thuế TNDN hoãn lại,,,,,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,329,215,69,1,484
Lợi ích của cổ đông thiểu số,,,,,27
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,329,215,69,1,457
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
