BCM,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,264",894,792,"1,292","1,143"
2. Các khoản giảm trừ doanh thu,1,15,0,6,16
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,263",879,791,"1,286","1,127"
4. Giá vốn hàng bán,"1,589",574,385,559,399
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,675,305,406,727,728
6.Doanh thu hoạt động tài chính,11,12,52,10,7
7. Chi phí tài chính,140,254,191,269,149
Trong đó :Chi phí lãi vay,140,253,191,269,149
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",17,555,55,90,6
9. Chi phí bán hàng,167,305,146,252,182
10. Chi phí quản lý doanh nghiệp,116,240,95,124,141
11. Lợi nhuận thuần từ hoạt động kinh doanh,281,74,81,182,270
12. Thu nhập khác,37,-21,6,-99,5
13. Chi phí khác,6,31,8,-3,6
14. Lợi nhuận khác,30,-52,-2,-96,-1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,311,21,79,86,269
16. Chi phí thuế TNDN hiện hành,52,14,5,54,53
17. Chi phí thuế TNDN hoãn lại,,0,,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,259,7,74,32,216
Lợi ích của cổ đông thiểu số,56,-49,-17,-107,-2
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,203,56,92,139,217
19. Lãi cơ bản trên cổ phiếu (*),61,54,88,134,74
20. Lãi suy giảm trên cổ phiếu (*),61,54,88,134,74
