VPB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,062","2,574","2,633","2,468","2,521"
II. Tiền gửi tại NHNN,"5,825","6,460","2,558","3,179","7,396"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","6,054","17,520","23,127","18,197","6,447"
"1. Tiền, vàng gửi tại các TCTD khác","5,744","15,219","20,385","18,037","6,164"
2. Cho vay các TCTD khác,311,"2,302","2,742",161,284
3. Dự phòng rủi ro cho vay các TCTD khác,-1,-1,-1,-1,-1
IV. Chứng khoán kinh doanh,"2,978","1,425","2,290","5,563","3,961"
1. Chứng khoán kinh doanh,"2,982","1,425","2,290","5,607","3,980"
2. Dự phòng giảm giá chứng khoán kinh doanh,-4,0,-44,-19,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,82,78,,
VI. Cho vay khách hàng,"165,143","179,517","185,629","195,164","196,151"
1. Cho vay và cho thuê tài chính khách hàng,"167,682","182,666","189,116","198,720","200,075"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,539","-3,149","-3,487","-3,556","-3,925"
VII. Hoạt động mua nợ,0,511,417,,
1. Mua nợ,0,512,421,,
2. Dự phòng rủi ro hoạt động mua nợ,0,-1,-3,,
VII. Chứng khoán đầu tư,"54,375","53,558","51,673","51,447","61,370"
1. Chứng khoán đầu tư sẵn sàng để bán,"50,970","50,385","48,705","48,739","58,768"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"4,314","4,151","4,134","4,053","3,959"
3. Dự phòng giảm giá chứng khoán đầu tư,-909,-978,"-1,166","-1,345","-1,356"
"VIII. Góp vốn, đầu tư dài hạn",248,153,220,228,189
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,299,195,228,228,228
4. Dự phòng giảm giá đầu tư dài hạn,-51,-42,-7,0,-38
IX. Tài sản cố định,755,808,776,948,952
1. Tài sản cố định hữu hình,435,458,439,563,426
a. Nguyên giá TSCĐ,"1,026","1,091","1,118","1,286","1,190"
b. Hao mòn TSCĐ,-591,-633,-678,-722,-764
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,320,351,336,385,527
a. Nguyên giá TSCĐ,569,623,631,706,876
b. Hao mòn TSCĐ,-249,-272,-295,-321,-350
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
