VPB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"20,431","19,346","19,757","19,607","21,401"
2. Chi phí lãi và các chi phí tương tự,"9,389","8,023","7,349","7,451","8,208"
I. Thu nhập lãi thuần,"11,042","11,323","12,408","12,156","13,193"
3. Thu nhập từ hoạt động dịch vụ,"3,567","3,162","3,653","2,866","3,521"
4. Chi phí hoạt động dịch vụ,"1,686","1,608","1,772","1,719","1,979"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,881","1,554","1,881","1,148","1,542"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-185,304,194,96,233
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,48,-33,34,117,236
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-45,37,412,17,4
5. Thu nhập từ hoạt động khác,"1,495","1,066","2,111","2,639","3,745"
6. Chi phí hoạt động khác,895,841,911,"1,112","1,318"
VI. Lãi/lỗ thuần từ hoạt động khác,601,225,"1,200","1,526","2,427"
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,3,10
VIII. Chi phí hoạt động,"3,615","3,467","3,331","3,751","3,791"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"9,726","9,944","12,797","11,312","13,853"
X. Chi phí dự phòng rủi ro tín dụng,"7,018","5,762","8,313","6,125","7,702"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,708","4,182","4,483","5,187","6,151"
7. Chi phí thuế TNDN hiện hành,560,"1,043",781,"1,026","1,113"
8. Chi phí thuế TNDN hoãn lại,37,-3,70,-3,-1
XII. Chi phí thuế TNDN,597,"1,040",851,"1,023","1,112"
XIII. Lợi nhuận sau thuế (XI-XII),"2,111","3,142","3,633","4,164","5,040"
XIV. Lợi ích của cổ đông thiểu số,81,-425,74,136,422
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,030","3,567","3,558","4,028","4,617"
Lãi cơ bản trên cổ phiếu (BCTC),,450,,,
