VPB,Q3/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,616","2,905","2,915","2,814","3,747"
2. Chi phí lãi và các chi phí tương tự,"1,666","1,737","1,679","1,716","1,981"
I. Thu nhập lãi thuần,950,"1,167","1,236","1,099","1,767"
3. Thu nhập từ hoạt động dịch vụ,225,164,201,253,362
4. Chi phí hoạt động dịch vụ,75,61,70,76,147
II. Lãi/lỗ thuần từ hoạt động dịch vụ,150,103,131,177,216
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,7,-25,-33,1,-33
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,36,11,3,-2,-14
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-13,104,77,252,32
5. Thu nhập từ hoạt động khác,38,6,26,13,167
6. Chi phí hoạt động khác,11,2,7,25,218
VI. Lãi/lỗ thuần từ hoạt động khác,27,4,19,-12,-51
"VII. Thu nhập từ góp vốn, mua cổ phần",0,0,4,3,2
VIII. Chi phí hoạt động,665,721,776,959,"1,228"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),493,644,662,559,690
X. Chi phí dự phòng rủi ro tín dụng,213,443,129,-53,428
XI. Tổng lợi nhuận trước thuế (IX-X),280,201,533,612,262
7. Chi phí thuế TNDN hiện hành,97,44,117,135,79
8. Chi phí thuế TNDN hoãn lại,,,,,0
XII. Chi phí thuế TNDN,97,44,117,135,79
XIII. Lợi nhuận sau thuế (XI-XII),184,157,416,477,183
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),184,157,416,477,183
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
