VPB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,992","4,370","5,102","5,349","5,776"
2. Chi phí lãi và các chi phí tương tự,"1,923","1,977","2,212","2,293","2,457"
I. Thu nhập lãi thuần,"2,069","2,393","2,889","3,056","3,319"
3. Thu nhập từ hoạt động dịch vụ,272,366,444,513,433
4. Chi phí hoạt động dịch vụ,122,209,182,220,259
II. Lãi/lỗ thuần từ hoạt động dịch vụ,150,157,263,294,174
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-138,-32,78,-198,3
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,17,-6,-1,33,-28
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,128,-37,22,-71,38
5. Thu nhập từ hoạt động khác,38,265,304,349,136
6. Chi phí hoạt động khác,15,17,49,11,3
VI. Lãi/lỗ thuần từ hoạt động khác,23,248,254,338,134
"VII. Thu nhập từ góp vốn, mua cổ phần",4,,0,166,
VIII. Chi phí hoạt động,"1,044","1,093","1,530","2,026","1,283"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,209","1,630","1,976","1,592","2,356"
X. Chi phí dự phòng rủi ro tín dụng,805,861,759,824,"1,317"
XI. Tổng lợi nhuận trước thuế (IX-X),403,769,"1,217",768,"1,039"
7. Chi phí thuế TNDN hiện hành,90,144,183,271,170
8. Chi phí thuế TNDN hoãn lại,0,0,0,,
XII. Chi phí thuế TNDN,90,144,183,271,170
XIII. Lợi nhuận sau thuế (XI-XII),314,625,"1,034",497,869
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),314,625,"1,034",497,869
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
