VPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"13,486","11,505","12,498","14,239","15,447"
2. Chi phí lãi và các chi phí tương tự,"4,254","4,030","3,975","4,352","4,981"
I. Thu nhập lãi thuần,"9,232","7,474","8,523","9,888","10,466"
3. Thu nhập từ hoạt động dịch vụ,"1,716","1,472","2,065","2,100","2,451"
4. Chi phí hoạt động dịch vụ,631,682,869,850,913
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,085",791,"1,196","1,249","1,538"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,7,-10,-30,-83,-167
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,56,-11,14,-66,-232
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,"1,390",727,784,172,349
5. Thu nhập từ hoạt động khác,"1,208","1,825","1,117","7,436","1,892"
6. Chi phí hoạt động khác,932,667,533,326,568
VI. Lãi/lỗ thuần từ hoạt động khác,276,"1,159",584,"7,110","1,324"
"VII. Thu nhập từ góp vốn, mua cổ phần",,2,,,10
VIII. Chi phí hoạt động,"2,817","2,456","2,855","2,991","3,524"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"9,230","7,677","8,216","15,279","9,762"
X. Chi phí dự phòng rủi ro tín dụng,"4,199","4,979","5,371","4,132","5,586"
XI. Tổng lợi nhuận trước thuế (IX-X),"5,031","2,698","2,845","11,146","4,177"
7. Chi phí thuế TNDN hiện hành,"1,015",538,573,"2,229",853
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,"1,015",538,573,"2,229",853
XIII. Lợi nhuận sau thuế (XI-XII),"4,016","2,161","2,272","8,917","3,324"
XIV. Lợi ích của cổ đông thiểu số,,,-157,245,-184
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"4,016","2,161","2,429","8,672","3,508"
Lãi cơ bản trên cổ phiếu (BCTC),,,,"1,951",
