VPB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,990","6,410","7,404","7,983","8,123"
2. Chi phí lãi và các chi phí tương tự,"2,495","2,627","2,884","3,154","3,370"
I. Thu nhập lãi thuần,"3,495","3,782","4,520","4,829","4,753"
3. Thu nhập từ hoạt động dịch vụ,451,534,691,648,732
4. Chi phí hoạt động dịch vụ,282,321,401,343,405
II. Lãi/lỗ thuần từ hoạt động dịch vụ,169,213,290,305,328
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-122,-106,-120,-14,-28
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-56,3,-69,5,32
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,80,29,-38,75,270
5. Thu nhập từ hoạt động khác,445,292,636,722,593
6. Chi phí hoạt động khác,4,37,188,515,56
VI. Lãi/lỗ thuần từ hoạt động khác,441,255,448,206,538
"VII. Thu nhập từ góp vốn, mua cổ phần",,,0,,
VIII. Chi phí hoạt động,"1,479","1,943","1,883","1,797","2,241"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,529","2,233","3,148","3,609","3,650"
X. Chi phí dự phòng rủi ro tín dụng,"1,941",663,"1,338","1,685","2,310"
XI. Tổng lợi nhuận trước thuế (IX-X),588,"1,570","1,810","1,924","1,340"
7. Chi phí thuế TNDN hiện hành,122,203,365,387,271
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,122,203,365,387,271
XIII. Lợi nhuận sau thuế (XI-XII),466,"1,367","1,445","1,537","1,069"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),466,"1,367","1,445","1,537","1,069"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
