VPB,Q2/2012,Q3/2012,Q4/2012,Q1/2013,Q3/2013
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,711","2,341","2,637","2,458","2,616"
2. Chi phí lãi và các chi phí tương tự,"2,310","1,614","1,756","1,753","1,666"
I. Thu nhập lãi thuần,401,727,881,705,950
3. Thu nhập từ hoạt động dịch vụ,192,168,255,149,225
4. Chi phí hoạt động dịch vụ,81,53,64,70,75
II. Lãi/lỗ thuần từ hoạt động dịch vụ,110,115,191,79,150
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-15,-11,-111,-3,7
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,64,9,39,12,36
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-8,-14,-111,29,-13
5. Thu nhập từ hoạt động khác,36,18,49,94,38
6. Chi phí hoạt động khác,3,4,8,0,11
VI. Lãi/lỗ thuần từ hoạt động khác,33,14,42,94,27
"VII. Thu nhập từ góp vốn, mua cổ phần",4,12,1,0,0
VIII. Chi phí hoạt động,197,505,557,561,665
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),391,349,375,356,493
X. Chi phí dự phòng rủi ro tín dụng,23,67,313,212,213
XI. Tổng lợi nhuận trước thuế (IX-X),369,282,62,143,280
7. Chi phí thuế TNDN hiện hành,97,80,4,12,97
8. Chi phí thuế TNDN hoãn lại,,,0,,
XII. Chi phí thuế TNDN,97,80,4,12,97
XIII. Lợi nhuận sau thuế (XI-XII),272,202,58,131,184
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),272,202,58,131,184
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
