VPB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"13,248","12,882","12,884","13,349","13,338"
2. Chi phí lãi và các chi phí tương tự,"5,227","5,181","5,000","4,609","4,218"
I. Thu nhập lãi thuần,"8,021","7,701","7,884","8,740","9,120"
3. Thu nhập từ hoạt động dịch vụ,"1,439","1,403","1,606","1,719","1,630"
4. Chi phí hoạt động dịch vụ,744,715,665,686,642
II. Lãi/lỗ thuần từ hoạt động dịch vụ,695,687,941,"1,033",987
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-1,-93,-127,-87,-44
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,218,17,-5,-4,-50
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,521,96,255,299,249
5. Thu nhập từ hoạt động khác,595,744,899,"1,204","1,319"
6. Chi phí hoạt động khác,144,203,379,480,530
VI. Lãi/lỗ thuần từ hoạt động khác,451,540,521,724,789
"VII. Thu nhập từ góp vốn, mua cổ phần",,,3,2,
VIII. Chi phí hoạt động,"3,283","2,555","2,787","2,767","2,592"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"6,623","6,393","6,685","7,940","8,459"
X. Chi phí dự phòng rủi ro tín dụng,"3,712","2,720","3,872","4,318","4,453"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,911","3,673","2,813","3,622","4,006"
7. Chi phí thuế TNDN hiện hành,597,722,561,725,804
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,597,722,561,725,804
XIII. Lợi nhuận sau thuế (XI-XII),"2,314","2,951","2,252","2,897","3,202"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,314","2,951","2,252","2,897","3,202"
Lãi cơ bản trên cổ phiếu (BCTC),949,,,,"1,304"
