VPB,Q3/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,154","1,822","1,333","1,278","1,358"
II. Tiền gửi tại NHNN,"8,398","3,041","2,383","2,202","3,701"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","14,650","12,432","7,149","8,858","13,925"
"1. Tiền, vàng gửi tại các TCTD khác","6,723","7,195","4,233","3,516","2,301"
2. Cho vay các TCTD khác,"7,987","5,272","2,951","5,348","11,630"
3. Dự phòng rủi ro cho vay các TCTD khác,-61,-35,-34,-6,-6
IV. Chứng khoán kinh doanh,"5,284","7,217","6,883","7,184","4,244"
1. Chứng khoán kinh doanh,"5,322","7,231","6,886","7,215","4,260"
2. Dự phòng giảm giá chứng khoán kinh doanh,-38,-14,-2,-31,-16
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"46,786","53,473","61,312","69,944","77,256"
1. Cho vay và cho thuê tài chính khách hàng,"47,388","54,238","62,213","70,902","78,379"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-602,-765,-900,-959,"-1,123"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"24,897","35,346","38,493","41,737","47,961"
1. Chứng khoán đầu tư sẵn sàng để bán,"24,906","34,758","37,838","40,892","44,189"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,683,722,"1,043","4,023",
3. Dự phòng giảm giá chứng khoán đầu tư,-9,-95,-68,-198,-251
"VIII. Góp vốn, đầu tư dài hạn",72,72,72,72,72
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,72,72,72,72,72
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,0,0
IX. Tài sản cố định,389,408,539,613,603
1. Tài sản cố định hữu hình,211,234,231,275,291
a. Nguyên giá TSCĐ,452,488,502,572,597
b. Hao mòn TSCĐ,-240,-254,-271,-296,-306
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,178,173,308,338,312
a. Nguyên giá TSCĐ,267,275,416,457,437
b. Hao mòn TSCĐ,-89,-102,-108,-120,-125
X. Bất động sản đầu tư,29,29,29,28,28
a. Nguyên giá BĐSĐT,30,30,30,30,30
b. Hao mòn BĐSĐT,-1,-1,-1,-2,-2
"XI. Tài sản ""Có"" khác","17,918","16,166","16,944","15,709","14,094"
1. Các khoản phải thu,"12,449","10,707","12,339","9,544","7,061"
"2. Các khoản lãi, phí phải thu","2,892","3,342","3,207","3,490","4,114"
3. Tài sản thuế TNDN hoãn lại,6,,,,
4. Tài sản Có khác,"2,821","2,885","2,132","3,102","3,174"
- Trong đó: Lợi thế thương mại,69,62,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-250,-768,-734,-427,-255
TỔNG CỘNG TÀI SẢN,"119,577","130,005","135,137","147,626","163,241"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,833,,,,
II. Tiền gửi và vay các TCTD khác,"11,342","17,884","19,316","23,803","26,228"
1. Tiền gửi của các TCTD khác,"5,590","11,754","7,084","10,795","14,695"
2. Vay các TCTD khác,"5,752","6,130","12,232","13,008","11,533"
III. Tiền gửi của khách hàng,"87,301","89,026","91,566","100,296","108,354"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,3,136,133,202,215
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",49,79,124,75,125
VI. Phát hành giấy tờ có giá,"6,150","7,601","7,841","7,154","12,410"
VII. Các khoản nợ khác,"7,626","7,392","7,890","7,341","6,096"
"1. Các khoản lãi, phí phải trả","2,044","2,067","2,172","1,750","2,038"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"5,537","5,284","5,669","5,591","4,058"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),44,41,49,,
TỔNG NỢ PHẢI TRẢ,"112,471","122,118","126,870","138,871","154,261"
VIII. Vốn và các quỹ,"7,107","7,886","8,267","8,754","8,980"
1. Vốn của TCTD,"5,771","6,349","6,349","6,349","6,349"
a. Vốn điều lệ,"5,770","6,347","6,347","6,347","6,347"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,1,1,1,1,1
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,315,301,445,527,541
3. Chênh lệch tỷ giá hối đoái,-26,3,-33,-43,
