VPB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"10,600","11,377","12,114","12,969","13,237"
2. Chi phí lãi và các chi phí tương tự,"4,087","4,592","4,687","4,992","5,173"
I. Thu nhập lãi thuần,"6,513","6,785","7,426","7,977","8,064"
3. Thu nhập từ hoạt động dịch vụ,"1,144","1,130","1,357","1,460","1,719"
4. Chi phí hoạt động dịch vụ,536,385,644,751,692
II. Lãi/lỗ thuần từ hoạt động dịch vụ,608,745,713,709,"1,028"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-355,-37,1,-81,-99
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-16,3,54,145,83
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-17,169,107,200,327
5. Thu nhập từ hoạt động khác,"2,431",390,742,637,849
6. Chi phí hoạt động khác,190,92,174,88,229
VI. Lãi/lỗ thuần từ hoạt động khác,"2,240",298,569,549,620
"VII. Thu nhập từ góp vốn, mua cổ phần",,,0,3,
VIII. Chi phí hoạt động,"2,841","2,976","3,044","3,122","3,192"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"6,132","4,987","5,826","6,379","6,830"
X. Chi phí dự phòng rủi ro tín dụng,"3,059","3,204","3,266","3,523","3,695"
XI. Tổng lợi nhuận trước thuế (IX-X),"3,074","1,783","2,560","2,856","3,135"
7. Chi phí thuế TNDN hiện hành,618,361,511,574,621
8. Chi phí thuế TNDN hoãn lại,,0,0,,
XII. Chi phí thuế TNDN,618,361,511,574,621
XIII. Lợi nhuận sau thuế (XI-XII),"2,455","1,422","2,049","2,283","2,514"
XIV. Lợi ích của cổ đông thiểu số,,,0,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,455","1,422","2,049","2,283","2,514"
Lãi cơ bản trên cổ phiếu (BCTC),,,0,,
