VPB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,752","1,576","1,727","1,790","1,730"
II. Tiền gửi tại NHNN,"3,508","4,795","2,983","1,828","3,025"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","10,510","7,009","9,389","7,185","9,602"
"1. Tiền, vàng gửi tại các TCTD khác","4,450","4,034","4,089","6,225","7,624"
2. Cho vay các TCTD khác,"6,061","2,984","5,300",961,"1,980"
3. Dự phòng rủi ro cho vay các TCTD khác,-1,-9,-1,-1,-1
IV. Chứng khoán kinh doanh,"1,794","1,863","2,952","2,312","4,854"
1. Chứng khoán kinh doanh,"1,794","1,863","2,954","2,314","4,866"
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,-2,-2,-11,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"116,346","128,145","142,603","149,533","159,478"
1. Cho vay và cho thuê tài chính khách hàng,"118,136","129,946","144,673","152,155","162,088"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,790","-1,801","-2,070","-2,622","-2,609"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"55,738","50,683","55,356","52,890","54,069"
1. Chứng khoán đầu tư sẵn sàng để bán,"52,753","47,628","51,949","49,780","50,621"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,722","3,787","4,136","4,044","4,298"
3. Dự phòng giảm giá chứng khoán đầu tư,-737,-733,-728,-934,-850
"VIII. Góp vốn, đầu tư dài hạn",307,259,216,236,256
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,307,307,299,299,299
4. Dự phòng giảm giá đầu tư dài hạn,0,-48,-83,-64,-43
IX. Tài sản cố định,545,557,624,700,665
1. Tài sản cố định hữu hình,382,375,423,414,385
a. Nguyên giá TSCĐ,829,856,939,969,938
b. Hao mòn TSCĐ,-447,-481,-517,-555,-553
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,163,183,201,286,280
a. Nguyên giá TSCĐ,333,364,393,489,509
b. Hao mòn TSCĐ,-170,-181,-191,-203,-229
X. Bất động sản đầu tư,27,27,27,27,
a. Nguyên giá BĐSĐT,30,30,30,30,
b. Hao mòn BĐSĐT,-3,-3,-3,-3,
"XI. Tài sản ""Có"" khác","10,492","10,825","10,010","13,347","15,034"
1. Các khoản phải thu,"2,739","2,853","2,641","5,905","7,214"
"2. Các khoản lãi, phí phải thu","4,164","4,462","4,207","3,993","4,200"
3. Tài sản thuế TNDN hoãn lại,"3,826",,,,
4. Tài sản Có khác,"3,747","3,393","3,674","3,622",
- Trong đó: Lợi thế thương mại,25,19,12,6,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-237,-236,-232,-224,-2
TỔNG CỘNG TÀI SẢN,"201,020","205,740","225,887","229,847","248,714"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,24,26,"1,104",28,27
