VPB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"15,858","16,656","18,029","18,775","19,323"
2. Chi phí lãi và các chi phí tương tự,"5,473","6,373","8,495","10,013","10,486"
I. Thu nhập lãi thuần,"10,385","10,283","9,534","8,762","8,837"
3. Thu nhập từ hoạt động dịch vụ,"2,793","3,112","2,786","2,831","3,003"
4. Chi phí hoạt động dịch vụ,"1,024","1,231","1,118","1,174","1,113"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,769","1,881","1,668","1,657","1,889"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-29,-340,-347,-211,-64
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,81,68,95,149,89
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,11,-22,31,253,12
5. Thu nhập từ hoạt động khác,"1,930","1,759","2,336","2,766","1,297"
6. Chi phí hoạt động khác,678,861,958,594,802
VI. Lãi/lỗ thuần từ hoạt động khác,"1,252",898,"1,377","2,172",496
"VII. Thu nhập từ góp vốn, mua cổ phần",3,,,,3
VIII. Chi phí hoạt động,"3,536","4,065","3,423","3,679","3,195"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"9,937","8,703","8,936","9,103","8,067"
X. Chi phí dự phòng rủi ro tín dụng,"5,423","7,320","6,386","6,490","4,950"
XI. Tổng lợi nhuận trước thuế (IX-X),"4,514","1,383","2,550","2,613","3,117"
7. Chi phí thuế TNDN hiện hành,972,852,889,847,688
8. Chi phí thuế TNDN hoãn lại,,-610,11,-686,1
XII. Chi phí thuế TNDN,972,242,900,160,689
XIII. Lợi nhuận sau thuế (XI-XII),"3,542","1,140","1,650","2,452","2,428"
XIV. Lợi ích của cổ đông thiểu số,-187,"-1,125",-886,-610,3
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"3,730","2,266","2,536","3,062","2,425"
Lãi cơ bản trên cổ phiếu (BCTC),,,378,,
