VPB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,270","2,658","2,611","2,105","2,815"
II. Tiền gửi tại NHNN,"4,512","9,935","9,202","10,282","9,034"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","47,834","47,965","69,935","105,027","98,887"
"1. Tiền, vàng gửi tại các TCTD khác","32,115","40,772","63,083","95,523","84,269"
2. Cho vay các TCTD khác,"15,719","7,194","6,852","9,504","14,618"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"5,517","7,793","10,855","11,979","13,111"
1. Chứng khoán kinh doanh,"5,557","7,851","10,934","12,057","13,193"
2. Dự phòng giảm giá chứng khoán kinh doanh,-40,-57,-80,-78,-82
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,"1,121",75,,,
VI. Cho vay khách hàng,"390,123","424,662","450,146","474,940","508,799"
1. Cho vay và cho thuê tài chính khách hàng,"402,647","438,338","463,469","488,644","521,566"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-12,525","-13,676","-13,323","-13,704","-12,768"
VII. Hoạt động mua nợ,904,893,866,851,822
1. Mua nợ,911,900,872,858,828
2. Dự phòng rủi ro hoạt động mua nợ,-7,-7,-7,-6,-6
VII. Chứng khoán đầu tư,"87,757","83,076","78,811","80,048","87,404"
1. Chứng khoán đầu tư sẵn sàng để bán,"87,505","82,718","76,278","79,053","86,435"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,505,610,"2,751","1,213","1,186"
3. Dự phòng giảm giá chứng khoán đầu tư,-253,-253,-217,-218,-217
"VIII. Góp vốn, đầu tư dài hạn",250,189,189,904,189
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,250,189,189,904,189
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,844","1,858","1,783","1,759","1,899"
1. Tài sản cố định hữu hình,"1,188","1,219","1,181","1,168","1,319"
a. Nguyên giá TSCĐ,"2,646","2,734","2,742","2,773","2,986"
b. Hao mòn TSCĐ,"-1,458","-1,514","-1,561","-1,605","-1,667"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,656,639,602,591,580
a. Nguyên giá TSCĐ,"1,689","1,710","1,721","1,763","1,803"
b. Hao mòn TSCĐ,"-1,033","-1,071","-1,119","-1,172","-1,223"
X. Bất động sản đầu tư,,,,,
