VPB,Q2/2012,Q3/2012,Q4/2012,Q1/2013,Q3/2013
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",738,960,799,976,"1,154"
II. Tiền gửi tại NHNN,288,"1,078","1,373",489,"8,398"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","22,142","21,113","26,761","24,438","14,650"
"1. Tiền, vàng gửi tại các TCTD khác","22,142","19,299","17,318","15,425","6,723"
2. Cho vay các TCTD khác,,"1,813","9,498","9,073","7,987"
3. Dự phòng rủi ro cho vay các TCTD khác,,,-55,-61,-61
IV. Chứng khoán kinh doanh,"1,024","1,024","1,359","3,627","5,284"
1. Chứng khoán kinh doanh,"1,034","1,035","1,367","3,651","5,322"
2. Dự phòng giảm giá chứng khoán kinh doanh,-10,-11,-7,-24,-38
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,40,57,,
VI. Cho vay khách hàng,"33,058","33,115","36,523","41,120","46,786"
1. Cho vay và cho thuê tài chính khách hàng,"33,396","33,512","36,903","41,580","47,388"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-338,-397,-380,-460,-602
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"17,017","17,233","22,263","25,183","24,897"
1. Chứng khoán đầu tư sẵn sàng để bán,"17,017","17,233","22,263","25,192","24,906"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,,
3. Dự phòng giảm giá chứng khoán đầu tư,,,,-9,-9
"VIII. Góp vốn, đầu tư dài hạn","1,608","1,503",67,67,72
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,50,,,
3. Đầu tư dài hạn khác,"1,609","1,454",68,68,72
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,0,0
IX. Tài sản cố định,421,406,429,430,389
1. Tài sản cố định hữu hình,269,236,252,253,211
a. Nguyên giá TSCĐ,517,500,529,544,452
b. Hao mòn TSCĐ,-248,-263,-278,-292,-240
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,152,170,177,177,178
a. Nguyên giá TSCĐ,214,237,249,255,267
b. Hao mòn TSCĐ,-62,-67,-72,-77,-89
X. Bất động sản đầu tư,,29,30,29,29
a. Nguyên giá BĐSĐT,,30,30,30,30
b. Hao mòn BĐSĐT,,-1,0,-1,-1
"XI. Tài sản ""Có"" khác","11,223","12,881","12,967","16,252","17,918"
1. Các khoản phải thu,"4,669","5,124","5,602","10,730","12,449"
"2. Các khoản lãi, phí phải thu","2,249","2,472","2,455","2,948","2,892"
3. Tài sản thuế TNDN hoãn lại,,0,0,6,6
4. Tài sản Có khác,"4,318","5,297","4,990","2,660","2,821"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-12,-12,-79,-92,-250
TỔNG CỘNG TÀI SẢN,"87,519","89,383","102,629","112,611","119,577"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,"1,372",,
II. Tiền gửi và vay các TCTD khác,"24,410","22,219","25,656","26,496","11,342"
1. Tiền gửi của các TCTD khác,"24,384","19,381","15,543","13,567","5,590"
2. Vay các TCTD khác,26,"2,837","10,113","12,928","5,752"
III. Tiền gửi của khách hàng,"39,431","47,506","59,510","68,716","87,301"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,19,,,23,3
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",93,64,65,65,49
VI. Phát hành giấy tờ có giá,"9,459","4,704","4,766","3,422","6,150"
VII. Các khoản nợ khác,"7,769","8,386","4,633","7,141","7,626"
"1. Các khoản lãi, phí phải trả","1,875","1,292","1,187","1,603","2,044"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"5,886","7,082","3,432","5,516","5,537"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),9,12,14,22,44
TỔNG NỢ PHẢI TRẢ,"81,182","82,878","96,001","105,862","112,471"
VIII. Vốn và các quỹ,"6,341","6,505","6,628","6,749","7,107"
1. Vốn của TCTD,"5,051","5,051","5,771","5,771","5,771"
a. Vốn điều lệ,"5,050","5,050","5,770","5,770","5,770"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,1,1,1,1,1
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,153,263,233,233,315
3. Chênh lệch tỷ giá hối đoái,-32,-67,,-26,-26
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,168","1,258",624,771,"1,046"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"87,523","89,383","102,629","112,611","119,577"
