VPB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,285","2,433","2,597","2,682","2,148"
II. Tiền gửi tại NHNN,"8,423","7,759","14,976","13,547","14,327"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","94,094","98,546","115,859","119,231","134,644"
"1. Tiền, vàng gửi tại các TCTD khác","81,299","77,117","84,695","102,988","126,527"
2. Cho vay các TCTD khác,"12,795","21,429","31,164","16,244","8,116"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"12,326","11,331","11,495","10,549","13,111"
1. Chứng khoán kinh doanh,"12,406","11,406","11,577","10,612","13,181"
2. Dự phòng giảm giá chứng khoán kinh doanh,-80,-75,-82,-63,-70
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,583,,,
VI. Cho vay khách hàng,"551,622","567,636","609,031","619,866","676,546"
1. Cho vay và cho thuê tài chính khách hàng,"566,271","582,691","624,277","635,345","692,876"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-14,649","-15,055","-15,247","-15,479","-16,330"
VII. Hoạt động mua nợ,822,794,822,797,800
1. Mua nợ,828,828,828,827,806
2. Dự phòng rủi ro hoạt động mua nợ,-6,-34,-6,-30,-6
VII. Chứng khoán đầu tư,"94,587","82,798","59,430","58,056","52,783"
1. Chứng khoán đầu tư sẵn sàng để bán,"88,050","76,542","59,348","58,137","51,857"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"6,755","6,734",184,,993
3. Dự phòng giảm giá chứng khoán đầu tư,-218,-477,-103,-81,-67
"VIII. Góp vốn, đầu tư dài hạn",189,189,189,189,189
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,189,189,189,189,189
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,924","1,916","1,926","1,906","2,024"
1. Tài sản cố định hữu hình,"1,298","1,285","1,336","1,364","1,437"
