VPB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,141","1,266","1,689","1,632","1,568"
II. Tiền gửi tại NHNN,"1,744","2,010","2,757","2,261","1,934"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","14,743","14,611","16,246","14,600","18,894"
"1. Tiền, vàng gửi tại các TCTD khác","7,061","9,540","8,299","8,730","12,623"
2. Cho vay các TCTD khác,"7,904","5,293","8,169","5,871","6,272"
3. Dự phòng rủi ro cho vay các TCTD khác,-222,-222,-222,-1,-1
IV. Chứng khoán kinh doanh,"3,723","5,274","3,486","2,044","1,229"
1. Chứng khoán kinh doanh,"3,730","5,287","3,489","2,047","1,229"
2. Dự phòng giảm giá chứng khoán kinh doanh,-7,-13,-3,-3,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,69,,
VI. Cho vay khách hàng,"84,031","95,076","105,661","115,062","113,450"
1. Cho vay và cho thuê tài chính khách hàng,"84,991","96,279","107,045","116,804","115,196"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-960,"-1,202","-1,384","-1,742","-1,747"
VII. Hoạt động mua nợ,0,0,0,,
1. Mua nợ,0,0,0,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,,
VII. Chứng khoán đầu tư,"43,830","47,567","52,196","47,729","55,253"
1. Chứng khoán đầu tư sẵn sàng để bán,"40,081","43,264","47,773","43,951","51,614"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"4,023","4,908","5,199","4,521","4,562"
3. Dự phòng giảm giá chứng khoán đầu tư,-274,-605,-776,-742,-923
"VIII. Góp vốn, đầu tư dài hạn",33,32,218,323,322
1. Đầu tư vào công ty con,0,0,0,,
