VPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,122","1,917","2,346","2,181","2,308"
II. Tiền gửi tại NHNN,"5,194","9,702","10,861","4,754","4,978"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","34,483","38,916","57,105","51,851","62,026"
"1. Tiền, vàng gửi tại các TCTD khác","24,910","34,832","40,330","39,494","44,806"
2. Cho vay các TCTD khác,"9,573","4,083","16,858","12,357","17,220"
3. Dự phòng rủi ro cho vay các TCTD khác,,,-83,,
IV. Chứng khoán kinh doanh,50,"3,159","6,971","3,838","5,576"
1. Chứng khoán kinh doanh,50,"3,185","7,005","3,849","5,616"
2. Dự phòng giảm giá chứng khoán kinh doanh,,-26,-34,-10,-40
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,51,,103,34,520
VI. Cho vay khách hàng,"306,026","311,074","345,607","362,946","379,718"
1. Cho vay và cho thuê tài chính khách hàng,"310,853","317,291","355,281","374,457","392,504"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,827","-6,217","-9,674","-11,511","-12,786"
VII. Hoạt động mua nợ,249,962,959,943,932
1. Mua nợ,251,970,966,950,939
2. Dự phòng rủi ro hoạt động mua nợ,-2,-7,-7,-7,-7
VII. Chứng khoán đầu tư,"67,923","75,876","75,798","92,350","101,733"
1. Chứng khoán đầu tư sẵn sàng để bán,"67,562","75,495","75,314","92,416","101,506"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,738,730,723,567,510
3. Dự phòng giảm giá chứng khoán đầu tư,-376,-349,-238,-632,-283
"VIII. Góp vốn, đầu tư dài hạn",239,234,250,250,250
1. Đầu tư vào công ty con,,,0,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,0,,
3. Đầu tư dài hạn khác,239,234,250,250,250
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,,
IX. Tài sản cố định,"1,749","1,723","1,873","1,810","1,784"
1. Tài sản cố định hữu hình,"1,137","1,096","1,217","1,175","1,149"
a. Nguyên giá TSCĐ,"2,396","2,397","2,559","2,560","2,569"
b. Hao mòn TSCĐ,"-1,259","-1,300","-1,342","-1,386","-1,420"
2. Tài sản cố định thuê tài chính,,,0,,
a. Nguyên giá TSCĐ,,,0,,
b. Hao mòn TSCĐ,,,0,,
3. Tài sản cố định vô hình,613,627,656,635,635
a. Nguyên giá TSCĐ,"1,407","1,468","1,552","1,576","1,621"
b. Hao mòn TSCĐ,-794,-841,-896,-941,-986
X. Bất động sản đầu tư,,,0,,
a. Nguyên giá BĐSĐT,,,0,,
b. Hao mòn BĐSĐT,,,0,,
"XI. Tài sản ""Có"" khác","33,681","35,869","45,754","42,968","48,451"
1. Các khoản phải thu,"26,882","29,654","39,015","35,652","40,130"
"2. Các khoản lãi, phí phải thu","4,935","4,636","4,897","5,275","5,986"
3. Tài sản thuế TNDN hoãn lại,,,0,,
4. Tài sản Có khác,"1,910","1,632","1,894","2,098","2,390"
- Trong đó: Lợi thế thương mại,,,0,80,73
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-46,-53,-52,-57,-56
TỔNG CỘNG TÀI SẢN,"451,767","479,432","547,626","563,924","608,275"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
