LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2014,Q1/2015,Q2/2015,Q3/2015,Q1/2016
Giai đoạn,01/01-31/03,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"1,352","1,729","1,733","2,031","1,937"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,028","-1,045","-1,188",-774,"-1,171"
3. Thu nhập từ hoạt động dịch vụ nhận được,42,34,250,63,27
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",429,33,30,5,52
5. Thu nhập khác,6,-13,-15,-8,28
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",10,2,1,6,
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-392,-561,-284,"-1,120",-675
8. Tiền thuế thu nhập thực nộp trong kỳ,-20,-117,-35,-36,-87
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,399,63,490,168,112
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","3,612","1,329","1,854",-690,"1,255"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-7,993",-303,506,-145,"-1,162"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-8,-26,7,6,38
12. (Tăng)/Giảm các khoản cho vay khách hàng,"11,880",971,"-6,265","-2,877","-9,776"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,21,-25,-33,-13,-37
14. (Tăng)/Giảm khác về tài sản hoạt động,394,-1,"1,418",-794,509
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,58,-1,7,41,"-2,227"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-3,643","-6,647",-137,"-7,299","1,500"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"-6,907","-4,417","4,025","3,691","11,543"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),2,251,149,"2,796","1,250"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-57,-4,3,"2,784",-4
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,205,-39,-134,87,-83
22. Chi từ các quỹ của TCTD,-2,,,,-1
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-2,038","-8,848","1,891","-2,244","2,919"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-85,-43,-129,3,-14
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,20
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,-21
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-271,-14,-355,723,-21
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",299,48,32,17,5
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",2,2,14,17,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-55,-6,-439,760,-31
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",-175,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,-175,,,,
IV- Lưu chuyển tiền thuần trong kỳ,"-2,268","-8,855","1,452","-1,485","2,888"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"8,711","15,293",,,"14,069"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"6,443","6,438","1,452","-1,485","16,957"
