VJC,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
4. Dự phòng đầu tư tài chính dài hạn (*),,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,1,,"3,586",,
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"5,258","5,885","5,663","7,093","7,320"
1. Chi phí trả trước dài hạn,"5,258","5,885","5,663","7,093","7,320"
2. Tài sản thuế thu nhập hoãn lại,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,,,,,
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"48,621","50,949","51,785","61,206","64,592"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"31,615","34,020","34,910","44,095","47,104"
I. Nợ ngắn hạn,"18,379","17,058","16,809","20,681","22,916"
1. Phải trả người bán ngắn hạn,"5,683","3,603","4,344","2,942","6,813"
2. Người mua trả tiền trước ngắn hạn,537,579,657,517,637
3. Thuế và các khoản phải nộp Nhà nước,256,221,289,297,290
4. Phải trả người lao động,44,33,82,98,3
5. Chi phí phải trả ngắn hạn,453,990,"1,000","1,340",872
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,216,249,382,700,"2,283"
9. Phải trả ngắn hạn khác,815,"2,424",612,"5,307","2,669"
10. Vay và nợ thuê tài chính ngắn hạn,"8,118","6,823","7,254","7,320","7,753"
11. Dự phòng phải trả ngắn hạn,"1,923","1,805","1,864","1,875","1,315"
"12. Quỹ khen thưởng, phúc lợi",334,332,327,285,283
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"13,236","16,962","18,101","23,414","24,188"
1. Phải trả người bán dài hạn,,,,,
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,63,46,51,104,55
8. Vay và nợ thuê tài chính dài hạn,"3,648","6,649","8,207","12,220","11,036"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,64,126,140,159,256
12. Dự phòng phải trả dài hạn,"9,461","10,142","9,703","10,932","12,841"
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,0,
B. VỐN CHỦ SỞ HỮU,"17,005","16,929","16,875","17,111","17,488"
I. Vốn chủ sở hữu,"17,005","16,929","16,875","17,111","17,488"
1. Vốn góp của chủ sở hữu,"5,416","5,416","5,416","5,416","5,416"
- Cổ phiếu phổ thông có quyền biểu quyết,"5,416","5,416","5,416","5,416","5,416"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,249,247,247,247,247
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,-32,-150,-111,-98,98
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"11,339","11,403","11,302","11,526","11,706"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"11,209","11,209","11,209","11,281","11,281"
- LNST chưa phân phối kỳ này,130,194,93,244,424
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,33,12,20,20,21
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"48,621","50,949","51,785","61,206","64,592"
