VJC,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
12. Dự phòng phải trả dài hạn,"11,973","11,704","13,622","11,807","15,491"
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"17,532","14,241","15,149","15,352","15,214"
I. Vốn chủ sở hữu,"17,532","14,241","15,149","15,352","15,214"
1. Vốn góp của chủ sở hữu,"5,416","5,416","5,416","5,416","5,416"
- Cổ phiếu phổ thông có quyền biểu quyết,"5,416","5,416","5,416","5,416","5,416"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,247,247,247,247,247
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,380,-552,273,262,319
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"11,466","9,110","9,191","9,404","9,236"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"11,281","11,281","9,019","9,019","9,019"
- LNST chưa phân phối kỳ này,184,"-2,172",172,385,217
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,23,20,21,22,-4
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"67,470","67,147","69,277","71,496","76,539"
