LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,086",-956,"4,869","5,106","5,126"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,230,-31,56,80,51
Các khoản dự phòng,-109,273,-93,-3,-194
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",9,6,,,
"Lãi, lỗ từ hoạt động đầu tư",-434,987,"-1,201","-6,170","-3,713"
Chi phí lãi vay,277,229,293,593,718
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,059",508,"3,923",-395,"1,989"
"Tăng, giảm các khoản phải thu",-644,"-1,741",747,199,"1,640"
"Tăng, giảm hàng tồn kho","-2,965","1,474","2,446","4,154","-7,674"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",916,"1,457","-6,309","-7,988","2,487"
"Tăng, giảm chi phí trả trước",253,-608,437,-129,395
"Tăng, giảm chứng khoán kinh doanh",,,-533,533,
Tiền lãi vay đã trả,280,-395,,"-1,275",-476
Thuế thu nhập doanh nghiệp đã nộp,65,-230,-89,"-1,206","-1,575"
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,-36,464,622,"-6,107","-3,215"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",501,"-2,218",-201,-181,-205
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-141,34,,"1,124","1,986"
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3,167","-1,885","-8,962","-3,869","-14,979"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",-468,468,"9,503","9,524","2,618"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,"-2,493","1,748","-29,323","-12,405","-2,802"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"-1,605","1,667","13,977","8,247","1,080"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",117,17,353,388,193
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-920,-169,"-14,652","2,827","-12,109"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,28,"12,000",,241
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"-4,847","11,475","10,955","29,841","25,242"
4. Tiền trả nợ gốc vay,"5,581","-11,195","-7,518","-23,905","-8,949"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,-907,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,734,308,"14,530","5,935","16,534"
Lưu chuyển tiền thuần trong kỳ,-223,603,501,"2,656","1,210"
Tiền và tương đương tiền đầu kỳ,"1,181",959,"1,562","2,062","4,719"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,959,"1,562","2,062","4,719","5,929"
