LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,-371,551,"2,244",923,56
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,92,257,98,117,94
Các khoản dự phòng,4,7,14,-2,117
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",1,1,-1,,
"Lãi, lỗ từ hoạt động đầu tư",13,-968,221,-136,-240
Chi phí lãi vay,73,249,135,152,244
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,-188,97,"2,712","1,053",272
"Tăng, giảm các khoản phải thu",863,"-4,303","5,942",10,-250
"Tăng, giảm hàng tồn kho","-1,672","-1,864","2,820","7,313","-5,571"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","2,405","6,578","-6,850",-328,"1,364"
"Tăng, giảm chi phí trả trước",186,-155,251,-27,-315
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-10,-47,-94,-34,-412
Thuế thu nhập doanh nghiệp đã nộp,-24,-112,-232,382,"-1,088"
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,560",194,"4,548","8,369","-6,001"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-517,"-2,761",539,"-6,751","6,063"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,75,,141
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",583,,-489,"-2,828","-9,124"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",95,"2,604",1,731,"3,961"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-280,"-8,409","-7,515",-18,"-2,706"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,124,"5,108",530,6,"1,959"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",174,196,1,17,180
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,179,"-3,262","-6,858","-8,843",473
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",158,158,"3,235",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,243,"7,842","3,319","3,175","21,429"
4. Tiền trả nợ gốc vay,"-2,757","-4,732","-1,858","-2,374","-17,850"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,-340,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,356","3,268","4,357",802,"3,578"
Lưu chuyển tiền thuần trong kỳ,-618,200,"2,046",328,"-1,949"
Tiền và tương đương tiền đầu kỳ,871,557,756,"2,802","3,131"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,253,756,"2,802","3,131","1,181"
