LPB,Q3/2014,Q1/2015,Q2/2015,Q3/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",350,503,490,855,
II. Tiền gửi tại NHNN,"1,756","1,454","2,642",972,
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","9,836","3,535","2,878","5,398",
"1. Tiền, vàng gửi tại các TCTD khác","7,586","1,814","2,542","4,128",
2. Cho vay các TCTD khác,"2,250","1,721",337,"1,273",
3. Dự phòng rủi ro cho vay các TCTD khác,-1,-2,,,
IV. Chứng khoán kinh doanh,0,0,,,
1. Chứng khoán kinh doanh,0,0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,0,0,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,8,55,,,
VI. Cho vay khách hàng,"36,385","47,468","54,003","57,950",
1. Cho vay và cho thuê tài chính khách hàng,"36,796","47,962","54,610","58,645",
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-411,-494,-606,-695,
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"27,068","36,952","32,385","35,112",
1. Chứng khoán đầu tư sẵn sàng để bán,"25,888","35,556","29,867","32,880",
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,228","1,583","2,854","2,680",
3. Dự phòng giảm giá chứng khoán đầu tư,-48,-187,-336,-448,
"VIII. Góp vốn, đầu tư dài hạn",325,325,325,325,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,325,325,325,325,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,004","1,098","1,147","1,142",
1. Tài sản cố định hữu hình,666,741,758,741,
a. Nguyên giá TSCĐ,952,"1,090","1,171","1,213",
b. Hao mòn TSCĐ,-286,-349,-414,-472,
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,339,357,389,401,
a. Nguyên giá TSCĐ,381,402,443,452,
b. Hao mòn TSCĐ,-43,-45,-54,-51,
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","12,467","11,855","12,751","11,214",
1. Các khoản phải thu,"9,152","7,795","8,188","7,270",
"2. Các khoản lãi, phí phải thu","2,736","3,536","4,047","3,429",
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,579,531,522,522,
- Trong đó: Lợi thế thương mại,220,204,0,363,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-6,-6,-6,,
TỔNG CỘNG TÀI SẢN,"89,191","103,188","106,629","113,023",
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,17,230,36,631,
II. Tiền gửi và vay các TCTD khác,"4,370","11,816","10,696","8,360",
1. Tiền gửi của các TCTD khác,"3,550","9,659","6,800","5,030",
2. Vay các TCTD khác,820,"2,157","3,896","3,330",
III. Tiền gửi của khách hàng,"74,209","81,303","85,355","91,571",
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,37,2,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,637","1,073","1,095","1,093",
VI. Phát hành giấy tờ có giá,"2,000",,,,
VII. Các khoản nợ khác,"1,703","1,406","1,891","1,886",
"1. Các khoản lãi, phí phải trả","1,355","1,095","1,560","1,446",
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,349,310,330,440,
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"81,974","95,828","99,072","105,541",
VIII. Vốn và các quỹ,"7,217","7,360","7,556","7,482",
1. Vốn của TCTD,"6,523","6,523","6,523","6,523",
a. Vốn điều lệ,"6,460","6,460","6,460","6,460",
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,63,63,63,63,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,595,663,663,713,
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,99,174,370,246,
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"89,191","103,188","106,629","113,023",
