LPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,184","5,112","5,674","5,806","6,064"
2. Chi phí lãi và các chi phí tương tự,"3,004","3,081","2,918","2,930","3,020"
I. Thu nhập lãi thuần,"2,180","2,031","2,756","2,876","3,045"
3. Thu nhập từ hoạt động dịch vụ,289,218,397,277,373
4. Chi phí hoạt động dịch vụ,60,63,85,59,70
II. Lãi/lỗ thuần từ hoạt động dịch vụ,229,155,312,217,303
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-11,7,19,-15,52
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,5,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-1,5,-8,-10,356
5. Thu nhập từ hoạt động khác,38,46,48,200,37
6. Chi phí hoạt động khác,8,2,96,8,22
VI. Lãi/lỗ thuần từ hoạt động khác,30,43,-48,191,15
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,1
VIII. Chi phí hoạt động,"1,094","1,204","1,765","1,153","1,342"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,331","1,037","1,270","2,107","2,431"
X. Chi phí dự phòng rủi ro tín dụng,406,271,435,312,637
XI. Tổng lợi nhuận trước thuế (IX-X),925,766,836,"1,795","1,793"
7. Chi phí thuế TNDN hiện hành,185,154,191,375,359
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,185,154,191,375,359
XIII. Lợi nhuận sau thuế (XI-XII),740,612,645,"1,421","1,435"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),740,612,645,"1,421","1,435"
Lãi cơ bản trên cổ phiếu (BCTC),689,557,536,"1,180","1,158"
