LPB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,703","8,099","8,118","8,452","9,469"
2. Chi phí lãi và các chi phí tương tự,"5,357","4,634","4,473","4,674","4,962"
I. Thu nhập lãi thuần,"3,346","3,464","3,645","3,778","4,507"
3. Thu nhập từ hoạt động dịch vụ,"3,014",887,959,"1,109",639
4. Chi phí hoạt động dịch vụ,88,68,93,93,129
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"2,926",819,866,"1,016",510
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,66,148,44,99,-18
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,21,12,10
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-1,0,0,0,-1
5. Thu nhập từ hoạt động khác,218,79,303,182,683
6. Chi phí hoạt động khác,82,51,58,63,137
VI. Lãi/lỗ thuần từ hoạt động khác,136,28,245,119,546
"VII. Thu nhập từ góp vốn, mua cổ phần",18,18,12,45,
VIII. Chi phí hoạt động,"1,595","1,376","1,247","1,538","1,650"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"4,896","3,101","3,587","3,531","3,903"
X. Chi phí dự phòng rủi ro tín dụng,"1,544",215,554,632,553
XI. Tổng lợi nhuận trước thuế (IX-X),"3,353","2,886","3,032","2,900","3,350"
7. Chi phí thuế TNDN hiện hành,725,588,611,569,680
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,725,588,611,569,680
XIII. Lợi nhuận sau thuế (XI-XII),"2,628","2,299","2,422","2,331","2,670"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,628","2,299","2,422","2,331","2,670"
Lãi cơ bản trên cổ phiếu (BCTC),"1,275",899,947,898,"1,072"
