LPB,Q2/2012,Q3/2012,Q2/2013,Q1/2014,Q3/2014
Giai đoạn,01/04-30/06,01/07-30/09,01/04-30/06,01/01-31/03,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",190,234,214,350,
II. Tiền gửi tại NHNN,395,377,923,"1,756",
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","14,583","14,756","11,788","9,836",
"1. Tiền, vàng gửi tại các TCTD khác","14,583","14,756","3,931","7,586",
2. Cho vay các TCTD khác,0,0,"7,857","2,250",
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,0,0,203,0,
1. Chứng khoán kinh doanh,0,0,203,0,
2. Dự phòng giảm giá chứng khoán kinh doanh,0,0,0,0,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,4,,
VI. Cho vay khách hàng,"16,247","16,641","32,391","36,385",
1. Cho vay và cho thuê tài chính khách hàng,"16,247","16,641","32,856","36,796",
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,0,0,-466,-411,
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"12,168","14,175","21,087","27,068",
1. Chứng khoán đầu tư sẵn sàng để bán,"12,168","14,175","21,123","25,888",
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,0,0,"1,228",,
3. Dự phòng giảm giá chứng khoán đầu tư,0,0,-36,-48,
"VIII. Góp vốn, đầu tư dài hạn",25,25,25,325,
1. Đầu tư vào công ty con,25,25,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,,,
3. Đầu tư dài hạn khác,0,0,25,325,
4. Dự phòng giảm giá đầu tư dài hạn,0,0,,,
IX. Tài sản cố định,738,743,764,"1,004",
1. Tài sản cố định hữu hình,738,743,430,666,
a. Nguyên giá TSCĐ,738,743,609,952,
b. Hao mòn TSCĐ,0,0,-180,-286,
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,0,0,335,339,
a. Nguyên giá TSCĐ,0,0,367,381,
b. Hao mòn TSCĐ,0,0,-32,-43,
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","9,228","12,534","10,807","12,467",
1. Các khoản phải thu,"9,228","12,534","8,408","9,152",
"2. Các khoản lãi, phí phải thu",0,0,"1,745","2,736",
3. Tài sản thuế TNDN hoãn lại,0,0,,,
4. Tài sản Có khác,0,0,655,579,
- Trong đó: Lợi thế thương mại,0,0,220,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,,,
TỔNG CỘNG TÀI SẢN,"53,573","59,484","78,206","89,191",
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,3,2,10,17,
II. Tiền gửi và vay các TCTD khác,"13,881","16,283","14,229","4,370",
1. Tiền gửi của các TCTD khác,"13,881","16,283","4,032","3,550",
2. Vay các TCTD khác,0,0,"10,197",820,
III. Tiền gửi của khách hàng,"31,640","35,474","55,598","74,209",
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,19,15,37,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,0,18,"1,637",
VI. Phát hành giấy tờ có giá,3,1,0,,
VII. Các khoản nợ khác,842,665,"1,193","1,703",
"1. Các khoản lãi, phí phải trả",842,665,946,"1,355",
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,0,0,233,349,
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,14,,
TỔNG NỢ PHẢI TRẢ,"46,388","52,439","71,049","81,974",
VIII. Vốn và các quỹ,"7,185","7,046","7,157","7,217",
1. Vốn của TCTD,"7,185","7,046","6,523","6,523",
a. Vốn điều lệ,"7,185","7,046","6,460","6,460",
b. Vốn đầu tư XDCB,0,0,,,
c. Thặng dư vốn cổ phần,0,0,63,63,
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,0,0,513,595,
3. Chênh lệch tỷ giá hối đoái,0,0,-2,,
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,0,0,123,99,
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"53,573","59,484","78,206","89,191",
