LPB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,921","3,057","3,193","3,432","3,550"
2. Chi phí lãi và các chi phí tương tự,"1,559","1,733","1,997","2,306","2,284"
I. Thu nhập lãi thuần,"1,362","1,324","1,195","1,126","1,266"
3. Thu nhập từ hoạt động dịch vụ,51,68,48,74,83
4. Chi phí hoạt động dịch vụ,28,44,29,51,41
II. Lãi/lỗ thuần từ hoạt động dịch vụ,24,24,19,22,42
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-9,-2,50,-36,-21
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,14,0,8,0,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-4,71,50,-108,86
5. Thu nhập từ hoạt động khác,2,10,1,47,1
6. Chi phí hoạt động khác,127,77,119,97,58
VI. Lãi/lỗ thuần từ hoạt động khác,-124,-67,-118,-51,-57
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,631,974,635,709,764
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),631,375,569,246,552
X. Chi phí dự phòng rủi ro tín dụng,108,40,61,87,204
XI. Tổng lợi nhuận trước thuế (IX-X),523,334,507,159,348
7. Chi phí thuế TNDN hiện hành,104,92,90,30,68
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,104,92,90,30,68
XIII. Lợi nhuận sau thuế (XI-XII),419,242,417,129,280
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),419,242,417,129,280
Lãi cơ bản trên cổ phiếu (BCTC),649,375,557,172,373
