LPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,349","1,669","2,751","2,173","2,017"
II. Tiền gửi tại NHNN,"3,725","2,756","9,868","10,515","4,834"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","16,435","11,034","22,438","17,309","19,221"
"1. Tiền, vàng gửi tại các TCTD khác","15,069","10,731","21,288","16,464","18,868"
2. Cho vay các TCTD khác,"1,366",306,"1,151",851,358
3. Dự phòng rủi ro cho vay các TCTD khác,-3,-5,-5,,
IV. Chứng khoán kinh doanh,276,273,233,233,237
1. Chứng khoán kinh doanh,276,273,233,233,237
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,134,174,85,133,
VI. Cho vay khách hàng,"188,761","193,096","205,783","204,272","223,055"
1. Cho vay và cho thuê tài chính khách hàng,"191,228","195,830","208,954","207,749","226,915"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,467","-2,733","-3,171","-3,477","-3,860"
VII. Hoạt động mua nợ,"1,558",,,,
1. Mua nợ,"1,570",,,,
2. Dự phòng rủi ro hoạt động mua nợ,-12,,,,
VII. Chứng khoán đầu tư,"33,425","35,403","38,689","41,408","42,103"
1. Chứng khoán đầu tư sẵn sàng để bán,"33,440","35,414","38,707","41,425","42,103"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,,
3. Dự phòng giảm giá chứng khoán đầu tư,-14,-12,-17,-17,
"VIII. Góp vốn, đầu tư dài hạn",316,316,316,316,316
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,316,316,316,316,316
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,649","1,612","1,584","1,609","1,624"
1. Tài sản cố định hữu hình,"1,145","1,114","1,093","1,124","1,139"
a. Nguyên giá TSCĐ,"2,494","2,514","2,531","2,616","2,679"
b. Hao mòn TSCĐ,"-1,349","-1,400","-1,438","-1,492","-1,541"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,504,498,492,485,485
a. Nguyên giá TSCĐ,670,671,673,673,657
b. Hao mòn TSCĐ,-166,-174,-181,-188,-172
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","8,428","8,290","7,446","6,950","5,954"
1. Các khoản phải thu,938,"1,085","1,249","1,473","1,444"
"2. Các khoản lãi, phí phải thu","6,575","6,429","5,383","4,743","3,882"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,918,780,819,739,633
- Trong đó: Lợi thế thương mại,,,,,
