LPB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,643","6,713","7,598","7,972","8,080"
2. Chi phí lãi và các chi phí tương tự,"3,435","3,941","4,824","5,522","5,448"
I. Thu nhập lãi thuần,"3,208","2,772","2,774","2,450","2,633"
3. Thu nhập từ hoạt động dịch vụ,341,"1,106",318,327,247
4. Chi phí hoạt động dịch vụ,83,223,92,78,82
II. Lãi/lỗ thuần từ hoạt động dịch vụ,259,882,226,249,164
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-13,-15,145,19,205
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,30,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-4,0,0,-4,0
5. Thu nhập từ hoạt động khác,53,44,19,128,125
6. Chi phí hoạt động khác,47,56,31,17,13
VI. Lãi/lỗ thuần từ hoạt động khác,7,-12,-12,111,112
"VII. Thu nhập từ góp vốn, mua cổ phần",,53,,31,
VIII. Chi phí hoạt động,"1,305","1,507","1,344","1,480","1,341"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,152","2,174","1,790","1,406","1,773"
X. Chi phí dự phòng rủi ro tín dụng,918,"1,306",224,526,533
XI. Tổng lợi nhuận trước thuế (IX-X),"1,234",867,"1,566",880,"1,241"
7. Chi phí thuế TNDN hiện hành,247,200,322,172,248
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,247,200,322,172,248
XIII. Lợi nhuận sau thuế (XI-XII),987,668,"1,243",708,993
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),987,668,"1,243",708,993
Lãi cơ bản trên cổ phiếu (BCTC),713,419,719,410,483
