MWG,Q3/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,,"1,771","1,856","2,415","2,838"
I. Tiền và các khoản tương đương tiền,,173,303,419,213
1. Tiền,,143,147,145,210
2. Các khoản tương đương tiền,,30,156,274,3
II.  Đầu tư tài chính ngắn hạn,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,,238,290,298,297
1. Phải thu ngắn hạn của khách hàng,,25,32,32,44
2. Trả trước cho người bán ngắn hạn,,28,117,112,91
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,,185,141,154,161
7. Dự phòng phải thu ngắn hạn khó đòi (*),,,0,,
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,,"1,317","1,218","1,625","2,195"
1. Hàng tồn kho,,"1,350","1,269","1,674","2,254"
2. Dự phòng giảm giá hàng tồn kho (*),,-34,-50,-48,-58
V. Tài sản ngắn hạn khác,,43,45,73,133
1. Chi phí trả trước ngắn hạn,,30,38,48,78
2. Thuế GTGT được khấu trừ,,10,3,21,50
3. Thuế và các khoản khác phải thu của nhà nước,,,,,0
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,3,4,4,5
B. TÀI SẢN DÀI HẠN,,316,379,433,570
I. Các khoản phải thu dài hạn,,,,,
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,,,,,
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,,265,285,316,434
1. Tài sản cố định hữu hình,,250,272,274,388
- Nguyên giá,,345,392,419,558
- Giá trị hao mòn lũy kế (*),,-95,-120,-145,-170
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
3. Tài sản cố định vô hình,,5,6,6,23
- Nguyên giá,,7,9,9,26
- Giá trị hao mòn lũy kế (*),,-2,-3,-3,-3
III. Bất động sản đầu tư,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
IV. Tài sản dở dang dài hạn,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,,10,7,36,23
V. Đầu tư tài chính dài hạn,,,,,
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,,,,,
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,,51,66,92,113
1. Chi phí trả trước dài hạn,,7,6,17,25
2. Tài sản thuế thu nhập hoãn lại,,3,11,11,13
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,,41,49,64,74
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,1,28,24,23
TỔNG CỘNG TÀI SẢN,,"2,087","2,234","2,848","3,407"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,,"1,085","1,109","1,548","1,923"
I. Nợ ngắn hạn,,"1,085","1,109","1,548","1,923"
1. Phải trả người bán ngắn hạn,,476,646,847,982
2. Người mua trả tiền trước ngắn hạn,,1,1,5,8
3. Thuế và các khoản phải nộp Nhà nước,,60,72,73,58
4. Phải trả người lao động,,1,,1,0
5. Chi phí phải trả ngắn hạn,,81,129,162,192
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,
9. Phải trả ngắn hạn khác,,17,20,36,48
10. Vay và nợ thuê tài chính ngắn hạn,,449,242,414,619
11. Dự phòng phải trả ngắn hạn,,,,10,11
"12. Quỹ khen thưởng, phúc lợi",,,,,5
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,,,,,
1. Phải trả người bán dài hạn,,,,,
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,,,,,
