LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"3,563","2,925","2,802","4,379","3,452"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,717","-1,440","-1,445","-1,385","-1,555"
3. Thu nhập từ hoạt động dịch vụ nhận được,219,232,337,351,328
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",219,-22,-59,-233,220
5. Thu nhập khác,327,-129,183,203,577
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",229,102,79,32,24
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",629,"-2,037",-868,"-1,175",-977
8. Tiền thuế thu nhập thực nộp trong kỳ,-87,-77,-102,-116,-184
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"3,382",-446,927,"2,056","1,885"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-6,047","5,386","4,681","-1,497","-5,454"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"2,462","7,935","-3,303","-2,337","-7,162"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,,,,
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-7,718","-3,712","-3,132","-16,756","-2,398"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-752,"1,772",275,"-2,752","-1,223"
14. (Tăng)/Giảm khác về tài sản hoạt động,"-2,442","2,535",-969,853,"1,109"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,203,-203,,,
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","7,340","-8,896","-5,851","8,681",-212
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"-4,803","2,130","7,614","5,609","6,577"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),188,35,-82,"1,739",-31
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-5,-2,72,204,109
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,40,105,-119,41,-21
21. Tăng/(Giảm) khác về công nợ hoạt động,-8,-133,341,56,-30
22. Chi từ các quỹ của TCTD,-1,,,-15,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-8,160","6,506",455,"-4,119","-6,851"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-33,-25,-20,-46,-56
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,47,40,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,-43,43,
4. Mua sắm bất động sản đầu tư,,,,,-1
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,-2,2,-2,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,36,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",1,8,15,-14,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-33,-18,37,21,-57
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,
IV- Lưu chuyển tiền thuần trong kỳ,"-8,193","6,488",492,"-4,097","-6,908"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"18,067",,,,"19,607"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,8,-18,3,7,23
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"9,883","6,470",495,"-4,091","12,723"
