BVH,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,EY,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,,,
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),"8,755","9,209","9,594","10,629","9,359"
- Thu phí bảo hiểm gốc,"8,682","8,818","9,679","10,530","9,357"
- Thu phí nhận tái bảo hiểm,52,38,53,36,51
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,-21,-353,138,-64,49
2. Phí nhượng tái bảo hiểm,"1,026","1,221","1,093","1,422",874
- Phí nhượng tái bảo hiểm,944,931,973,"1,258",831
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,-81,-291,-120,-164,-43
Các khoản giảm trừ,0,0,0,,
- Giảm phí Bảo hiểm,0,0,0,,
- Hoàn phí Bảo hiểm,0,0,0,,
- Các khoản giảm trừ khác,0,0,0,,
"Tăng (giảm) dự phòng phí, dự phòng toán học",0,0,0,,
3. Doanh thu phí bảo hiểm thuần (03=01-02),"7,730","7,988","8,501","9,207","8,485"
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),149,227,235,448,224
- Thu hoa hồng nhượng tái Bảo hiểm,149,227,235,448,224
- Thu khác hoạt động kinh doanh Bảo hiểm,0,0,0,,
+ Thu khác nhận tái Bảo hiểm,0,0,0,,
+ Thu khác nhượng tái bảo hiểm,0,0,0,,
"+ Thu khác (giám định, đại lý,…)",0,0,0,,
5. Doanh thu thuần HĐKD BH (10=03+04),"7,879","8,215","8,736","9,655","8,709"
5.1. Doanh thuần BH và CCDV,0,0,0,,
6. Chi bồi thường,"3,273","3,061","3,053","3,535","2,963"
- Tổng chi bồi thường,"3,273","3,061","3,055","3,536","2,963"
