BVH,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),,,,,
- Thu phí bảo hiểm gốc,"3,365","3,037","3,200","3,618","3,764"
- Thu phí nhận tái bảo hiểm,93,68,105,97,68
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,,,,,
2. Phí nhượng tái bảo hiểm,,,,,
- Phí nhượng tái bảo hiểm,296,328,261,274,239
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,,,,,
Các khoản giảm trừ,324,405,261,274,239
- Giảm phí Bảo hiểm,11,77,0,0,0
- Hoàn phí Bảo hiểm,18,0,0,0,0
- Các khoản giảm trừ khác,0,0,0,0,0
"Tăng (giảm) dự phòng phí, dự phòng toán học","1,162",738,-88,190,23
3. Doanh thu phí bảo hiểm thuần (03=01-02),,,,,
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),,,,,
- Thu hoa hồng nhượng tái Bảo hiểm,60,0,42,50,-45
- Thu khác hoạt động kinh doanh Bảo hiểm,8,60,2,2,9
+ Thu khác nhận tái Bảo hiểm,0,58,0,1,0
+ Thu khác nhượng tái bảo hiểm,7,0,0,0,0
"+ Thu khác (giám định, đại lý,…)",2,2,2,1,9
5. Doanh thu thuần HĐKD BH (10=03+04),"2,040","2,022","3,175","3,302","3,534"
5.1. Doanh thuần BH và CCDV,0,0,0,0,0
6. Chi bồi thường,"1,434","1,129","1,417","1,334","1,563"
- Tổng chi bồi thường,,,,,
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm","1,605","1,225","1,481","1,362","1,779"
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",102,35,43,68,46
- Các khoản giảm trừ,274,131,106,96,262
+ Thu đòi người thứ ba bồi hoàn,3,0,1,1,0
+ Thu hàng đã xử lý bồi thường 100%,1,0,0,0,1
7. Thu bồi thường nhượng tái bảo hiểm,270,130,105,95,261
Tăng (giảm) dự phòng toán học (dành riêng BVH),,,,,
