BVH,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"122,497","122,492","116,496","111,208","121,165"
I.   Tiền và các khoản tương đương tiền,"4,789","7,528","6,317","2,492","1,461"
1. Tiền,"1,063","2,237","1,382","1,279","1,271"
2. Các khoản tương đương tiền,"3,726","5,291","4,935","1,213",190
II.  Đầu tư tài chính ngắn hạn,"101,566","99,078","94,196","93,251","103,899"
1. Chứng khoán kinh doanh,"3,267","3,293","3,580","3,684","3,660"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-206,-131,-158,-171,-203
3. Đầu tư nắm giữ đến ngày đáo hạn,"98,505","95,915","90,773","89,738","100,441"
III. Các khoản phải thu ngắn hạn,"12,376","12,103","12,289","10,893","11,505"
1. Phải thu ngắn hạn của khách hàng,"8,982","8,001","8,047","7,398","7,873"
1.1. Phải thu về hợp đồng bảo hiểm,"1,479","1,279","1,298","1,197","1,246"
1.2. Phải thu khác của khách hàng,"7,503","6,722","6,749","6,201","6,627"
2. Trả trước cho người bán ngắn hạn,58,64,55,56,32
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu về cho vay ngắn hạn,"3,252","3,901","4,036","3,292","3,548"
5. Phải thu ngắn hạn khác,357,408,418,410,314
6. Dự phòng phải thu ngắn hạn khó đòi (*),-272,-272,-268,-263,-262
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
IV. Hàng tồn kho,114,116,94,92,100
1. Hàng tồn kho,114,116,94,92,100
2. Dự phòng giảm giá hàng tồn kho,,,,,
V. Tài sản ngắn hạn khác,644,610,567,590,671
1. Chi phí trả trước ngắn hạn,614,590,545,573,661
1.1. Chi phí hoa hồng chưa phân bổ,554,523,480,519,583
1.2. Chi phí trả trước ngắn hạn khác,61,67,65,55,79
2. Thuế GTGT còn được khấu trừ,24,0,0,0,0
3. Thuế và các khoản khác phải thu của nhà nước,0,4,5,5,5
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
