BVH,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,EY,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),,,,,
- Thu phí bảo hiểm gốc,"2,734","2,877","2,687","2,830","3,133"
- Thu phí nhận tái bảo hiểm,102,73,0,94,96
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,,,,,
2. Phí nhượng tái bảo hiểm,,,,,
- Phí nhượng tái bảo hiểm,387,314,271,303,404
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,,,,,
Các khoản giảm trừ,400,339,271,320,421
- Giảm phí Bảo hiểm,2,3,0,1,2
- Hoàn phí Bảo hiểm,11,22,0,16,15
- Các khoản giảm trừ khác,0,0,0,0,0
"Tăng (giảm) dự phòng phí, dự phòng toán học",415,496,41,471,717
3. Doanh thu phí bảo hiểm thuần (03=01-02),,,,,
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),,,,,
- Thu hoa hồng nhượng tái Bảo hiểm,54,65,65,57,43
- Thu khác hoạt động kinh doanh Bảo hiểm,3,8,762,5,-2
+ Thu khác nhận tái Bảo hiểm,0,0,4,2,-2
+ Thu khác nhượng tái bảo hiểm,1,1,0,1,-2
"+ Thu khác (giám định, đại lý,…)",2,6,758,1,1
5. Doanh thu thuần HĐKD BH (10=03+04),"2,077","2,188","3,201","2,195","2,131"
5.1. Doanh thuần BH và CCDV,0,0,0,0,0
6. Chi bồi thường,"1,447","1,458","1,871","1,323","1,253"
- Tổng chi bồi thường,,,,,
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm","1,541","1,597","1,578","1,535","1,338"
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",52,47,40,101,191
- Các khoản giảm trừ,145,186,-254,314,277
+ Thu đòi người thứ ba bồi hoàn,7,4,-472,1,3
+ Thu hàng đã xử lý bồi thường 100%,5,-4,-63,2,0
7. Thu bồi thường nhượng tái bảo hiểm,134,187,282,311,273
Tăng (giảm) dự phòng toán học (dành riêng BVH),,,,,
8. Tăng (giảm) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,,,,,
9. Tăng (giảm) dự phòng bồi thường nhượng tái bảo hiểm,,,,,
9.1. Tăng (giảm) dự phòng bồi thường,-35,-37,0,57,41
10. Tổng chi bồi thường bảo hiểm (15=11-12+13-14),,,,,
11. Tăng (giảm) dự phòng dao động lớn,40,39,0,21,24
Chi bồi thường từ dự phòng dao động lớn,116,73,0,30,25
12. Chi khác hoạt động kinh doanh bảo hiểm,364,409,296,334,391
