BVH,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"18,860","17,603","17,136","18,477","19,750"
I.   Tiền và các khoản tương đương tiền,"5,330","3,958","4,189","3,925","5,276"
1. Tiền,"2,220","1,864",0,"1,842",925
2. Các khoản tương đương tiền,"3,109","2,094","4,189","2,082","4,351"
II.  Đầu tư tài chính ngắn hạn,"9,410","9,310",0,"9,749","9,834"
1. Chứng khoán kinh doanh,"10,486","10,397",0,"10,990","11,090"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),"-1,076","-1,087",0,"-1,241","-1,256"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"3,834","4,137","4,338","4,494","4,318"
1. Phải thu ngắn hạn của khách hàng,"1,787","2,051","3,204","2,212","1,882"
1.1. Phải thu về hợp đồng bảo hiểm,,,,,
1.2. Phải thu khác của khách hàng,,,,,
2. Trả trước cho người bán ngắn hạn,45,49,0,18,36
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu về cho vay ngắn hạn,,,,,
5. Phải thu ngắn hạn khác,"2,124","2,168","1,134","2,428","2,572"
6. Dự phòng phải thu ngắn hạn khó đòi (*),-122,-131,0,-164,-173
7. Tài sản thiếu chờ xử lý,,,,,
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
IV. Hàng tồn kho,160,123,0,164,179
1. Hàng tồn kho,160,123,0,164,179
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,126,75,"8,609",146,143
1. Chi phí trả trước ngắn hạn,44,55,0,76,69
1.1. Chi phí hoa hồng chưa phân bổ,,,,,
1.2. Chi phí trả trước ngắn hạn khác,,,,,
2. Thuế GTGT còn được khấu trừ,5,0,0,1,2
3. Thuế và các khoản khác phải thu của nhà nước,2,0,283,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,75,19,"8,326",69,72
VIII. Tài sản tái bảo hiểm,,,,,
1. Dự phòng phí nhượng tái bảo hiểm,,,,,
2. Dự phòng bồi thường nhượng tái bảo hiểm,,,,,
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"26,676","28,514","32,154","30,326","31,883"
I. Các khoản phải thu dài hạn,"5,695","7,043",0,"7,672","7,832"
1. Phải thu dài hạn của khách hàng,"5,828","7,181",0,"8,071","7,922"
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
