BVH,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,EY,EY,EY,,EY
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),,,,,
- Thu phí bảo hiểm gốc,"1,885","2,008","2,102","2,249","2,112"
- Thu phí nhận tái bảo hiểm,17,50,51,68,22
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,,,,,
2. Phí nhượng tái bảo hiểm,,,,,
- Phí nhượng tái bảo hiểm,172,292,299,321,194
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,,,,,
Các khoản giảm trừ,181,308,315,348,205
- Giảm phí Bảo hiểm,0,2,0,1,2
- Hoàn phí Bảo hiểm,9,14,15,26,9
- Các khoản giảm trừ khác,0,0,0,0,0
"Tăng (giảm) dự phòng phí, dự phòng toán học",319,106,303,297,218
3. Doanh thu phí bảo hiểm thuần (03=01-02),,,,,
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),,,,,
- Thu hoa hồng nhượng tái Bảo hiểm,32,50,33,69,45
- Thu khác hoạt động kinh doanh Bảo hiểm,1,3,0,2,2
+ Thu khác nhận tái Bảo hiểm,0,2,0,0,0
+ Thu khác nhượng tái bảo hiểm,0,0,0,0,1
"+ Thu khác (giám định, đại lý,…)",1,1,0,1,1
5. Doanh thu thuần HĐKD BH (10=03+04),"1,434","1,696","1,569","1,743","1,758"
5.1. Doanh thuần BH và CCDV,,,,,
6. Chi bồi thường,895,"1,095","1,063","1,242","1,061"
- Tổng chi bồi thường,,,,,
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm",962,"1,160","1,137","1,376","1,158"
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",18,8,7,19,5
