BVH,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,EY,EY,EY,EY,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"14,813","16,560","18,816","24,168","17,143"
I.   Tiền và các khoản tương đương tiền,"3,100","6,171","3,932","5,845","3,573"
1. Tiền,535,"3,254",976,723,882
2. Các khoản tương đương tiền,"2,565","2,917","2,957","5,122","2,690"
II.  Đầu tư tài chính ngắn hạn,"8,927","7,560","11,505","9,032","9,468"
1. Chứng khoán kinh doanh,"9,352","8,096","12,287","9,886","10,369"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-425,-536,-782,-854,-901
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"2,643","2,671","3,212","3,207","3,871"
1. Phải thu ngắn hạn của khách hàng,"1,331","1,272","1,255","1,453","1,881"
1.1. Phải thu về hợp đồng bảo hiểm,,,,,
1.2. Phải thu khác của khách hàng,,,,,
2. Trả trước cho người bán ngắn hạn,25,22,22,51,35
3. Phải thu nội bộ ngắn hạn,39,33,34,15,37
4. Phải thu về cho vay ngắn hạn,,,,,
5. Phải thu ngắn hạn khác,107,183,108,272,252
6. Dự phòng phải thu ngắn hạn khó đòi (*),-48,-53,-61,-71,-78
7. Tài sản thiếu chờ xử lý,,,,,
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,"1,188","1,214","1,853","1,486","1,743"
IV. Hàng tồn kho,109,123,128,117,124
1. Hàng tồn kho,109,123,128,117,124
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,34,35,39,"5,968",108
1. Chi phí trả trước ngắn hạn,17,19,22,64,97
1.1. Chi phí hoa hồng chưa phân bổ,,,,,
