BVH,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,EY,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),"10,660","11,261","10,498","10,538","10,392"
- Thu phí bảo hiểm gốc,"10,748","11,240","10,584","10,294","10,489"
- Thu phí nhận tái bảo hiểm,38,39,44,32,66
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,126,19,130,-213,163
2. Phí nhượng tái bảo hiểm,762,773,831,811,828
- Phí nhượng tái bảo hiểm,908,768,932,721,885
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,146,-5,101,-90,57
Các khoản giảm trừ,,,,,
- Giảm phí Bảo hiểm,,,,,
- Hoàn phí Bảo hiểm,,,,,
- Các khoản giảm trừ khác,,,,,
"Tăng (giảm) dự phòng phí, dự phòng toán học",,,,,
3. Doanh thu phí bảo hiểm thuần (03=01-02),"9,899","10,488","9,667","9,727","9,564"
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),150,101,179,164,163
- Thu hoa hồng nhượng tái Bảo hiểm,150,101,179,164,163
- Thu khác hoạt động kinh doanh Bảo hiểm,,,,,
+ Thu khác nhận tái Bảo hiểm,,,,,
+ Thu khác nhượng tái bảo hiểm,,,,,
"+ Thu khác (giám định, đại lý,…)",,,,,
5. Doanh thu thuần HĐKD BH (10=03+04),"10,048","10,588","9,846","9,891","9,726"
5.1. Doanh thuần BH và CCDV,,,,,
6. Chi bồi thường,"3,879","4,597","4,346","5,261","4,920"
- Tổng chi bồi thường,"3,881","4,597","4,346","5,261","4,920"
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm","3,856","4,568","4,324","5,246","4,898"
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",24,29,22,15,22
- Các khoản giảm trừ,2,0,0,1,0
+ Thu đòi người thứ ba bồi hoàn,1,0,0,1,0
+ Thu hàng đã xử lý bồi thường 100%,1,0,0,0,0
7. Thu bồi thường nhượng tái bảo hiểm,277,379,217,358,313
Tăng (giảm) dự phòng toán học (dành riêng BVH),"5,336","5,751","4,754","4,840","4,926"
8. Tăng (giảm) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,60,94,36,-151,49
9. Tăng (giảm) dự phòng bồi thường nhượng tái bảo hiểm,56,86,88,-122,-13
9.1. Tăng (giảm) dự phòng bồi thường,4,8,-53,-29,63
10. Tổng chi bồi thường bảo hiểm (15=11-12+13-14),"8,941","9,977","8,831","9,713","9,596"
11. Tăng (giảm) dự phòng dao động lớn,10,-87,14,13,10
Chi bồi thường từ dự phòng dao động lớn,,,,,
