BVH,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"24,378","26,950","28,760","21,140","20,388"
I.   Tiền và các khoản tương đương tiền,"7,460","9,115","12,040","2,540","1,419"
1. Tiền,987,"1,148",876,"1,411",883
2. Các khoản tương đương tiền,"6,473","7,967","11,164","1,129",536
II.  Đầu tư tài chính ngắn hạn,"11,499","12,120","11,196","13,134","13,518"
1. Chứng khoán kinh doanh,"12,725","13,590","12,701","14,602","15,010"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),"-1,225","-1,470","-1,505","-1,468","-1,492"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"5,064","4,158","3,609","3,700","3,663"
1. Phải thu ngắn hạn của khách hàng,"2,270","1,210","1,123","1,034","1,038"
1.1. Phải thu về hợp đồng bảo hiểm,,,,,
1.2. Phải thu khác của khách hàng,,,,,
2. Trả trước cho người bán ngắn hạn,86,98,84,105,132
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu về cho vay ngắn hạn,,,,,
5. Phải thu ngắn hạn khác,"2,885","3,056","2,608","2,780","2,713"
6. Dự phòng phải thu ngắn hạn khó đòi (*),-177,-206,-206,-219,-220
7. Tài sản thiếu chờ xử lý,,,,,
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
IV. Hàng tồn kho,163,179,206,190,182
1. Hàng tồn kho,163,179,206,190,182
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,191,"1,378","1,709","1,576","1,606"
1. Chi phí trả trước ngắn hạn,60,74,81,64,346
1.1. Chi phí hoa hồng chưa phân bổ,,,,,
1.2. Chi phí trả trước ngắn hạn khác,,,,,
2. Thuế GTGT còn được khấu trừ,0,5,2,0,2
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,131,"1,299","1,626","1,512","1,258"
