BVH,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét
Công ty kiểm toán,,,,,EY
Ý kiến kiểm toán,,,,,Chấp nhận toàn phần
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),"3,607","4,041","4,130","4,426","4,279"
- Thu phí bảo hiểm gốc,"3,524","3,850","4,244","4,357","4,284"
- Thu phí nhận tái bảo hiểm,77,95,56,111,62
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,-6,-95,170,41,67
2. Phí nhượng tái bảo hiểm,272,277,281,283,309
- Phí nhượng tái bảo hiểm,265,293,283,249,348
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,-7,16,2,-34,38
Các khoản giảm trừ,0,0,0,0,0
- Giảm phí Bảo hiểm,0,0,0,0,0
- Hoàn phí Bảo hiểm,0,0,0,0,0
- Các khoản giảm trừ khác,0,0,0,0,0
"Tăng (giảm) dự phòng phí, dự phòng toán học",0,0,0,0,0
3. Doanh thu phí bảo hiểm thuần (03=01-02),"3,336","3,763","3,849","4,143","3,969"
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),58,57,56,60,59
- Thu hoa hồng nhượng tái Bảo hiểm,47,52,37,53,51
- Thu khác hoạt động kinh doanh Bảo hiểm,11,6,19,7,8
+ Thu khác nhận tái Bảo hiểm,1,0,15,0,0
+ Thu khác nhượng tái bảo hiểm,0,0,0,0,0
"+ Thu khác (giám định, đại lý,…)",9,5,4,6,7
5. Doanh thu thuần HĐKD BH (10=03+04),"3,393","3,820","3,905","4,203","4,028"
5.1. Doanh thuần BH và CCDV,0,0,0,0,0
6. Chi bồi thường,"1,257","1,561","1,537","1,697","1,420"
- Tổng chi bồi thường,"1,258","1,565","1,562","1,700","1,421"
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm","1,220","1,525","1,503","1,661","1,389"
