BVH,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,,EY,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,Chấp nhận toàn phần,,
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),"6,184","7,372","6,802","7,669","7,825"
- Thu phí bảo hiểm gốc,"6,555","7,389","7,038","7,530","8,206"
- Thu phí nhận tái bảo hiểm,88,60,61,59,67
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,459,77,297,-80,448
2. Phí nhượng tái bảo hiểm,354,479,516,609,644
- Phí nhượng tái bảo hiểm,504,564,699,735,812
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,150,85,183,126,168
Các khoản giảm trừ,0,0,0,0,0
- Giảm phí Bảo hiểm,0,0,0,0,0
- Hoàn phí Bảo hiểm,0,0,0,0,0
- Các khoản giảm trừ khác,0,0,0,0,0
"Tăng (giảm) dự phòng phí, dự phòng toán học",0,0,0,0,0
3. Doanh thu phí bảo hiểm thuần (03=01-02),"5,830","6,893","6,286","7,060","7,182"
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),148,37,153,176,43
- Thu hoa hồng nhượng tái Bảo hiểm,67,72,67,75,84
- Thu khác hoạt động kinh doanh Bảo hiểm,80,-35,87,101,-40
+ Thu khác nhận tái Bảo hiểm,0,0,0,0,0
+ Thu khác nhượng tái bảo hiểm,76,-58,79,93,-47
"+ Thu khác (giám định, đại lý,…)",4,23,8,8,7
5. Doanh thu thuần HĐKD BH (10=03+04),"5,978","6,930","6,439","7,236","7,225"
5.1. Doanh thuần BH và CCDV,0,0,0,0,0
6. Chi bồi thường,"2,097","2,565","2,707","2,763","2,768"
- Tổng chi bồi thường,"2,098","2,565","2,707","2,763","2,768"
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm","2,067","2,547","2,627","2,738","2,723"
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",31,18,81,26,45
- Các khoản giảm trừ,1,1,0,0,0
+ Thu đòi người thứ ba bồi hoàn,0,0,0,0,0
+ Thu hàng đã xử lý bồi thường 100%,1,1,0,0,0
7. Thu bồi thường nhượng tái bảo hiểm,198,355,309,382,380
Tăng (giảm) dự phòng toán học (dành riêng BVH),"2,767","3,101","3,756","4,099",0
8. Tăng (giảm) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,47,786,161,609,"3,478"
9. Tăng (giảm) dự phòng bồi thường nhượng tái bảo hiểm,-59,757,67,487,-152
9.1. Tăng (giảm) dự phòng bồi thường,106,29,94,123,"3,629"
10. Tổng chi bồi thường bảo hiểm (15=11-12+13-14),"4,772","5,339","6,248","6,604","6,017"
