BVH,Q1/2009,Q2/2009,Q3/2009,Q4/2009,Q1/2010
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét
Công ty kiểm toán,,,,,EY
Ý kiến kiểm toán,,,,,Chấp nhận toàn phần
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),,,,,
- Thu phí bảo hiểm gốc,"1,722",,,"1,962","1,885"
- Thu phí nhận tái bảo hiểm,25,,,47,17
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,,,,,
2. Phí nhượng tái bảo hiểm,,,,,
- Phí nhượng tái bảo hiểm,246,,,284,172
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,,,,,
Các khoản giảm trừ,258,,,296,181
- Giảm phí Bảo hiểm,0,,,1,0
- Hoàn phí Bảo hiểm,12,,,11,9
- Các khoản giảm trừ khác,0,,,0,0
"Tăng (giảm) dự phòng phí, dự phòng toán học",98,,,921,319
3. Doanh thu phí bảo hiểm thuần (03=01-02),,,,,
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),,,,,
- Thu hoa hồng nhượng tái Bảo hiểm,32,,,50,32
- Thu khác hoạt động kinh doanh Bảo hiểm,1,,,1,1
+ Thu khác nhận tái Bảo hiểm,0,,,0,0
+ Thu khác nhượng tái bảo hiểm,0,,,0,0
"+ Thu khác (giám định, đại lý,…)",1,,,1,1
5. Doanh thu thuần HĐKD BH (10=03+04),"1,424",,,844,"1,434"
5.1. Doanh thuần BH và CCDV,,,,,
6. Chi bồi thường,804,,,"1,033",895
- Tổng chi bồi thường,,,,,
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm",857,,,"1,174",962
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",7,,,18,18
- Các khoản giảm trừ,60,,,158,86
+ Thu đòi người thứ ba bồi hoàn,2,,,4,1
+ Thu hàng đã xử lý bồi thường 100%,0,,,5,12
