BVH,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"23,829","24,503","25,070","22,706","23,787"
I.   Tiền và các khoản tương đương tiền,"1,778","2,177","3,469","2,252","4,121"
1. Tiền,908,"1,038","2,086",790,872
2. Các khoản tương đương tiền,870,"1,139","1,383","1,462","3,249"
II.  Đầu tư tài chính ngắn hạn,"16,392","17,151","15,898","15,375","14,212"
1. Chứng khoán kinh doanh,"1,778","1,785","1,786","1,747","1,831"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-438,-385,-413,-405,-393
3. Đầu tư nắm giữ đến ngày đáo hạn,"15,053","15,751","14,525","14,033","12,774"
III. Các khoản phải thu ngắn hạn,"3,779","3,411","3,860","3,537","3,768"
1. Phải thu ngắn hạn của khách hàng,"1,054","2,778","3,070","2,827","2,885"
1.1. Phải thu về hợp đồng bảo hiểm,"1,054","1,049","1,011","1,030","1,088"
1.2. Phải thu khác của khách hàng,0,"1,729","2,059","1,797","1,798"
2. Trả trước cho người bán ngắn hạn,34,27,70,23,19
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu về cho vay ngắn hạn,"2,713",743,829,795,978
5. Phải thu ngắn hạn khác,240,266,233,252,267
6. Dự phòng phải thu ngắn hạn khó đòi (*),-263,-403,-342,-360,-382
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
IV. Hàng tồn kho,192,191,225,102,96
1. Hàng tồn kho,192,191,225,102,96
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,381,370,428,419,494
1. Chi phí trả trước ngắn hạn,311,289,336,359,407
