BVH,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"89,484","98,980","99,488","109,879","125,118"
I.   Tiền và các khoản tương đương tiền,"2,860","15,872","5,354","10,763","3,138"
1. Tiền,"1,687","1,015",746,983,870
2. Các khoản tương đương tiền,"1,174","14,857","4,608","9,779","2,268"
II.  Đầu tư tài chính ngắn hạn,"75,004","70,966","82,007","86,860","110,219"
1. Chứng khoán kinh doanh,"2,134","2,546","2,843","2,976","2,954"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-63,-65,-46,-65,-245
3. Đầu tư nắm giữ đến ngày đáo hạn,"72,933","68,485","79,210","83,950","107,509"
III. Các khoản phải thu ngắn hạn,"8,873","9,348","9,235","9,120","8,457"
1. Phải thu ngắn hạn của khách hàng,"5,535","5,840","5,653","5,450","5,735"
1.1. Phải thu về hợp đồng bảo hiểm,"1,766","1,605","1,189","1,346","1,142"
1.2. Phải thu khác của khách hàng,"3,769","4,236","4,464","4,104","4,592"
2. Trả trước cho người bán ngắn hạn,62,74,97,57,48
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu về cho vay ngắn hạn,"3,456","3,436","3,590","3,612","2,682"
5. Phải thu ngắn hạn khác,350,413,367,419,424
6. Dự phòng phải thu ngắn hạn khó đòi (*),-530,-416,-472,-418,-433
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
IV. Hàng tồn kho,143,145,156,160,135
1. Hàng tồn kho,143,145,156,160,135
2. Dự phòng giảm giá hàng tồn kho,,,,,
V. Tài sản ngắn hạn khác,556,520,611,588,569
1. Chi phí trả trước ngắn hạn,518,480,567,543,531
1.1. Chi phí hoa hồng chưa phân bổ,465,438,516,488,477
1.2. Chi phí trả trước ngắn hạn khác,53,41,52,55,54
2. Thuế GTGT còn được khấu trừ,24,24,27,26,24
3. Thuế và các khoản khác phải thu của nhà nước,0,0,2,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
5. Tài sản ngắn hạn khác,14,16,15,20,13
VIII. Tài sản tái bảo hiểm,"2,048","2,129","2,125","2,389","2,602"
1. Dự phòng phí nhượng tái bảo hiểm,"1,026","1,019","1,009","1,244","1,376"
2. Dự phòng bồi thường nhượng tái bảo hiểm,"1,022","1,110","1,117","1,145","1,225"
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"59,564","66,142","69,973","73,845","68,173"
I. Các khoản phải thu dài hạn,68,69,73,72,72
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu dài hạn nội bộ,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,68,69,73,72,72
6.1 Ký quỹ bảo hiểm,,,,,
6.2. Phải thu dài hạn khác,68,69,73,72,72
7. Dự phòng phải thu dài hạn khó đòi,,,,,
II. Tài sản cố định,"1,767","1,898","1,933","1,921","1,899"
1. Tài sản cố định hữu hình,810,959,973,981,955
- Nguyên giá,"2,336","2,519","2,558","2,587","2,586"
- Giá trị hao mòn lũy kế,"-1,525","-1,560","-1,585","-1,606","-1,630"
2. Tài sản cố định thuê tài chính,,,,,
