BVH,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Chưa kiểm toán,Soát xét,Soát xét
Công ty kiểm toán,EY,EY,EY,EY,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"15,304","19,334","17,101","7,590","20,225"
I.   Tiền và các khoản tương đương tiền,"4,790","6,082","5,542","2,549","4,240"
1. Tiền,786,572,579,"2,549","2,052"
2. Các khoản tương đương tiền,"4,004","5,510","4,963",0,"2,187"
II.  Đầu tư tài chính ngắn hạn,"6,636","9,409","7,530","1,423","12,033"
1. Chứng khoán kinh doanh,"7,645","10,391","8,812","1,423","12,672"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),"-1,009",-982,"-1,282",0,-639
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"3,646","3,566","3,755","2,608","3,652"
1. Phải thu ngắn hạn của khách hàng,"1,880","1,775","1,869",630,"1,980"
1.1. Phải thu về hợp đồng bảo hiểm,,,,,
1.2. Phải thu khác của khách hàng,,,,,
2. Trả trước cho người bán ngắn hạn,34,46,59,0,56
3. Phải thu nội bộ ngắn hạn,38,0,0,0,0
4. Phải thu về cho vay ngắn hạn,,,,,
5. Phải thu ngắn hạn khác,193,"1,862","1,942","1,978","2,063"
6. Dự phòng phải thu ngắn hạn khó đòi (*),-94,-117,-114,0,-447
7. Tài sản thiếu chờ xử lý,,,,,
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,"1,595",0,0,0,0
IV. Hàng tồn kho,135,143,130,0,163
1. Hàng tồn kho,135,143,130,0,163
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,97,134,144,"1,010",137
1. Chi phí trả trước ngắn hạn,84,76,102,"1,010",60
1.1. Chi phí hoa hồng chưa phân bổ,,,,,
1.2. Chi phí trả trước ngắn hạn khác,,,,,
2. Thuế GTGT còn được khấu trừ,3,3,3,0,6
3. Thuế và các khoản khác phải thu của nhà nước,8,10,8,0,2
4. Giao dịch mua bán lại trái phiếu Chính phủ,2,0,0,0,0
5. Tài sản ngắn hạn khác,0,45,32,0,69
VIII. Tài sản tái bảo hiểm,,,,,
1. Dự phòng phí nhượng tái bảo hiểm,,,,,
2. Dự phòng bồi thường nhượng tái bảo hiểm,,,,,
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"28,026","25,930","26,658","35,009","26,910"
I. Các khoản phải thu dài hạn,"6,817","6,744","6,596","5,709","5,707"
1. Phải thu dài hạn của khách hàng,"6,875","6,806","6,676","5,709","5,799"
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu dài hạn nội bộ,0,0,0,0,0
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,0,0,0,0,0
6.1 Ký quỹ bảo hiểm,30,27,27,0,30
6.2. Phải thu dài hạn khác,,,,,
7. Dự phòng phải thu dài hạn khó đòi,-58,-63,-80,0,-92
II. Tài sản cố định,"2,001","2,011","2,065","1,661","2,078"
1. Tài sản cố định hữu hình,840,836,880,"1,023",890
- Nguyên giá,"1,498","1,519","1,572","1,023","1,641"
- Giá trị hao mòn lũy kế,-658,-682,-693,0,-751
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
