BVH,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,EY,,EY,
Ý kiến kiểm toán,,Chấp nhận toàn phần,,Chấp nhận toàn phần,
,,,,,
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),"8,464","8,048","8,815","9,032","9,944"
- Thu phí bảo hiểm gốc,"8,575","8,201","8,513","9,277","9,761"
- Thu phí nhận tái bảo hiểm,55,74,61,46,43
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,166,227,-240,291,-139
2. Phí nhượng tái bảo hiểm,738,775,676,772,850
- Phí nhượng tái bảo hiểm,928,789,705,897,910
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,190,14,29,125,60
Các khoản giảm trừ,0,0,0,0,0
- Giảm phí Bảo hiểm,0,0,0,0,0
- Hoàn phí Bảo hiểm,0,0,0,0,0
- Các khoản giảm trừ khác,0,0,0,0,0
"Tăng (giảm) dự phòng phí, dự phòng toán học",0,0,0,0,0
3. Doanh thu phí bảo hiểm thuần (03=01-02),"7,726","7,273","8,139","8,260","9,094"
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),361,123,-2,191,227
- Thu hoa hồng nhượng tái Bảo hiểm,115,123,-2,191,227
- Thu khác hoạt động kinh doanh Bảo hiểm,247,0,0,0,0
+ Thu khác nhận tái Bảo hiểm,0,0,0,0,0
+ Thu khác nhượng tái bảo hiểm,234,0,0,0,0
"+ Thu khác (giám định, đại lý,…)",13,0,0,0,0
5. Doanh thu thuần HĐKD BH (10=03+04),"8,087","7,396","8,137","8,451","9,321"
5.1. Doanh thuần BH và CCDV,0,0,0,0,0
6. Chi bồi thường,"3,381","3,221","3,445","3,551","3,993"
- Tổng chi bồi thường,"3,393","3,221","3,445","3,552","3,996"
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm","3,338","3,166","3,338","3,512","3,959"
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",55,56,107,39,37
- Các khoản giảm trừ,11,1,0,1,3
+ Thu đòi người thứ ba bồi hoàn,11,0,0,0,2
+ Thu hàng đã xử lý bồi thường 100%,0,0,0,0,0
