BVH,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"115,120","117,332","133,622","131,045","120,033"
I.   Tiền và các khoản tương đương tiền,"2,256","2,206","2,648","7,054","12,344"
1. Tiền,954,899,702,880,"1,681"
2. Các khoản tương đương tiền,"1,302","1,307","1,946","6,175","10,663"
II.  Đầu tư tài chính ngắn hạn,"100,318","102,407","117,146","109,191","91,297"
1. Chứng khoán kinh doanh,"3,030","2,925","2,924","3,186","2,939"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-310,-301,-209,-202,-178
3. Đầu tư nắm giữ đến ngày đáo hạn,"97,597","99,782","114,431","106,207","88,537"
III. Các khoản phải thu ngắn hạn,"8,990","9,035","9,903","11,150","12,689"
1. Phải thu ngắn hạn của khách hàng,"6,161","6,691","7,482","8,136","9,210"
1.1. Phải thu về hợp đồng bảo hiểm,"1,188","1,233","1,427","1,472","1,586"
1.2. Phải thu khác của khách hàng,"4,973","5,458","6,055","6,664","7,624"
2. Trả trước cho người bán ngắn hạn,48,42,33,36,43
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu về cho vay ngắn hạn,"2,804","2,289","2,332","2,953","3,380"
5. Phải thu ngắn hạn khác,412,416,487,455,492
6. Dự phòng phải thu ngắn hạn khó đòi (*),-435,-403,-431,-431,-437
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
IV. Hàng tồn kho,140,132,146,138,136
1. Hàng tồn kho,140,132,146,138,136
2. Dự phòng giảm giá hàng tồn kho,,,,,
V. Tài sản ngắn hạn khác,613,668,640,584,596
1. Chi phí trả trước ngắn hạn,569,637,597,540,558
1.1. Chi phí hoa hồng chưa phân bổ,520,569,536,484,515
1.2. Chi phí trả trước ngắn hạn khác,49,69,61,56,44
2. Thuế GTGT còn được khấu trừ,24,24,25,25,24
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
5. Tài sản ngắn hạn khác,20,6,18,19,14
VIII. Tài sản tái bảo hiểm,"2,804","2,884","3,139","2,928","2,971"
1. Dự phòng phí nhượng tái bảo hiểm,"1,523","1,517","1,664","1,574","1,631"
2. Dự phòng bồi thường nhượng tái bảo hiểm,"1,281","1,367","1,475","1,353","1,340"
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"75,734","84,278","86,839","89,726","95,260"
I. Các khoản phải thu dài hạn,73,83,81,83,84
1. Phải thu dài hạn của khách hàng,84,,,,
