BVH,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,EY,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"88,886","95,549","99,896","92,792","95,997"
I.   Tiền và các khoản tương đương tiền,"2,901","1,895","3,177","6,781","4,378"
1. Tiền,"1,075","1,215","1,779",644,"1,869"
2. Các khoản tương đương tiền,"1,826",680,"1,398","6,137","2,509"
II.  Đầu tư tài chính ngắn hạn,"73,700","81,829","85,415","73,754","80,120"
1. Chứng khoán kinh doanh,"2,974","2,678","2,565","2,450","2,079"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-548,-322,-230,-156,-100
3. Đầu tư nắm giữ đến ngày đáo hạn,"71,274","79,473","83,080","71,461","78,141"
III. Các khoản phải thu ngắn hạn,"8,683","8,628","8,241","9,236","8,678"
1. Phải thu ngắn hạn của khách hàng,"7,193","6,894","6,530","7,117","5,948"
1.1. Phải thu về hợp đồng bảo hiểm,"2,869","2,385","1,551","2,724","1,793"
1.2. Phải thu khác của khách hàng,"4,324","4,508","4,979","4,392","4,155"
2. Trả trước cho người bán ngắn hạn,64,77,73,64,58
3. Phải thu nội bộ ngắn hạn,0,0,0,,
4. Phải thu về cho vay ngắn hạn,"1,503","1,636","1,630","2,239","2,739"
5. Phải thu ngắn hạn khác,333,434,417,237,334
6. Dự phòng phải thu ngắn hạn khó đòi (*),-410,-413,-409,-421,-402
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,,
IV. Hàng tồn kho,131,134,128,122,132
1. Hàng tồn kho,131,134,128,122,132
2. Dự phòng giảm giá hàng tồn kho,0,0,0,,
V. Tài sản ngắn hạn khác,680,614,654,667,605
