LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2012,Q1/2013,Q2/2013,Q3/2013,Q4/2013
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,030",334,564,682,442
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,"1,105",414,410,404,391
Các khoản dự phòng,105,114,195,19,-309
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",21,6,290,-242,11
"Lãi, lỗ từ hoạt động đầu tư",-435,-225,-66,-196,-450
Chi phí lãi vay,732,159,201,129,323
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,558",802,"1,595",796,407
"Tăng, giảm các khoản phải thu","-1,161","-2,969","2,453","1,066",-946
"Tăng, giảm hàng tồn kho",-707,"2,663","-3,599","-1,924","3,454"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","2,734","6,859","-1,924",-956,"-1,542"
"Tăng, giảm chi phí trả trước",154,37,-38,2,62
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-735,-127,-205,-217,-149
Thuế thu nhập doanh nghiệp đã nộp,-166,-82,-108,-65,-125
Tiền thu khác từ hoạt động kinh doanh,14,409,-346,74,5
Tiền chi khác cho hoạt động kinh doanh,-58,-404,264,19,-191
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,633","7,188","-1,909","-1,205",975
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-1,348",-299,-343,-369,-861
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",60,101,-42,133,-13
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-447,-566,-332,"-1,274",-333
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",117,432,-82,"1,127",118
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-618,,,,-79
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,349,1,14,-11,114
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",377,114,108,75,515
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,510",-216,-677,-318,-540
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"54,006","17,841","14,080","24,692","17,068"
4. Tiền trả nợ gốc vay,"-56,921","-21,368","-11,790","-23,118","-19,534"
5. Tiền trả nợ gốc thuê tài chính,,,,,-1
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,915","-3,527","2,290","1,575","-2,467"
Lưu chuyển tiền thuần trong kỳ,"-1,791","3,445",-296,52,"-2,032"
Tiền và tương đương tiền đầu kỳ,,"4,982","8,427","8,133","8,185"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-1,,1,1,-1
Tiền và tương đương tiền cuối kỳ,"6,783","8,427","8,133","8,185","6,152"
