LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,576,"1,312",748,"1,112","1,371"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,424,442,459,457,462
Các khoản dự phòng,29,31,-88,268,13
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",104,67,85,-197,-51
"Lãi, lỗ từ hoạt động đầu tư",-95,-378,-217,-252,-103
Chi phí lãi vay,155,144,124,162,156
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,194","1,618","1,112","1,550","1,848"
"Tăng, giảm các khoản phải thu",-797,"5,016","-1,721",875,"-1,721"
"Tăng, giảm hàng tồn kho","1,385",-684,"1,592",32,"1,455"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-2,980","1,569","-1,653",-559,436
"Tăng, giảm chi phí trả trước",58,24,40,-47,30
"Tăng, giảm chứng khoán kinh doanh",,,,48,2
Tiền lãi vay đã trả,-134,-161,-128,-190,-146
Thuế thu nhập doanh nghiệp đã nộp,-133,-73,-140,-164,-201
Tiền thu khác từ hoạt động kinh doanh,112,140,158,190,135
Tiền chi khác cho hoạt động kinh doanh,-211,-249,-155,-87,-127
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-1,506","7,202",-896,"1,648","1,711"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-263,-662,-266,-782,-519
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",25,105,28,9,2
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-425,-903,-645,-652,-703
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",449,706,859,463,728
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,-2,2,-2
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,8,34,5,-32,4
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",97,426,265,20,91
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-108,-294,244,-973,-399
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"23,429","14,846","17,943","23,121","18,425"
4. Tiền trả nợ gốc vay,"-21,503","-20,456","-17,193","-23,851","-19,345"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-38,-11,49,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"1,926","-5,647",739,-681,-920
Lưu chuyển tiền thuần trong kỳ,311,"1,261",87,-5,392
Tiền và tương đương tiền đầu kỳ,"9,794","10,104","11,366","11,456","11,289"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-1,2,2,-21,-3
Tiền và tương đương tiền cuối kỳ,"10,104","11,366","11,456","11,289","11,678"
