LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,075","1,567","1,489","1,311","1,281"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,544,488,527,462,553
Các khoản dự phòng,579,-629,292,53,-259
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-60,1,13,-24,30
"Lãi, lỗ từ hoạt động đầu tư",-359,-336,-320,-351,-416
Chi phí lãi vay,225,185,239,173,194
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,141,"-1,835",-45,"1,070",308
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,145",-559,"2,196","2,694","1,691"
"Tăng, giảm các khoản phải thu",683,624,"-2,483","1,635",-653
"Tăng, giảm hàng tồn kho","2,257",-668,410,"1,004","-1,688"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-2,320","2,239",133,"1,794","-2,075"
"Tăng, giảm chi phí trả trước",-84,117,54,-142,53
"Tăng, giảm chứng khoán kinh doanh",-4,,,,
Tiền lãi vay đã trả,-263,-185,-239,-173,-183
Thuế thu nhập doanh nghiệp đã nộp,-350,-245,-266,-213,-225
Tiền thu khác từ hoạt động kinh doanh,1,2,1,11,-10
Tiền chi khác cho hoạt động kinh doanh,-80,-120,-78,-126,-147
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,986","1,205",-272,"6,483","-3,236"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-659,-409,-731,-502,-780
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",12,50,-4,26,-17
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-903,"-5,065","-1,618","-4,614","-4,498"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","2,094","2,573","3,144","2,376","6,223"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-30,21,-24,228
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,81,23,-7,20,"1,150"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",200,101,552,-162,-491
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,825,"-2,758","1,357","-2,879","1,814"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,713,12,"1,274",18
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,-3,3,,
3. Tiền thu từ đi vay,"35,302","15,041","20,885","12,361","21,014"
4. Tiền trả nợ gốc vay,"-37,574","-15,854","-20,688","-15,855","-16,212"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-212,,-194,"-2,845",-331
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,484",-102,17,"-5,066","4,489"
Lưu chuyển tiền thuần trong kỳ,327,"-1,655","1,102","-1,462","3,067"
Tiền và tương đương tiền đầu kỳ,"9,904","10,221","8,564","9,673","8,203"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-10,-2,7,-8,6
Tiền và tương đương tiền cuối kỳ,"10,221","8,564","9,673","8,203","11,275"
