TCB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,218","3,675","3,782","3,223","3,168"
2. Chi phí lãi và các chi phí tương tự,"2,804","2,724","2,492","2,302","2,150"
I. Thu nhập lãi thuần,"1,414",951,"1,290",921,"1,018"
3. Thu nhập từ hoạt động dịch vụ,259,256,234,320,286
4. Chi phí hoạt động dịch vụ,108,217,111,76,135
II. Lãi/lỗ thuần từ hoạt động dịch vụ,151,39,122,244,151
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-46,-81,18,-61,-118
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-90,19,37,50,13
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-65,-23,22,92,83
5. Thu nhập từ hoạt động khác,141,"1,424",240,157,161
6. Chi phí hoạt động khác,133,"1,158",108,32,40
VI. Lãi/lỗ thuần từ hoạt động khác,9,266,132,125,121
"VII. Thu nhập từ góp vốn, mua cổ phần",0,5,6,8,14
VIII. Chi phí hoạt động,615,"1,263",912,771,873
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),758,-88,714,608,410
X. Chi phí dự phòng rủi ro tín dụng,155,"1,128",317,353,313
XI. Tổng lợi nhuận trước thuế (IX-X),603,"-1,216",397,255,97
7. Chi phí thuế TNDN hiện hành,,,,,
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,,,,,
XIII. Lợi nhuận sau thuế (XI-XII),603,"-1,216",397,255,97
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),603,"-1,216",397,255,97
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
