TCB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,004","6,631","7,701","7,679","8,151"
2. Chi phí lãi và các chi phí tương tự,"2,792","2,696","2,553","2,185","2,027"
I. Thu nhập lãi thuần,"4,212","3,935","5,148","5,494","6,124"
3. Thu nhập từ hoạt động dịch vụ,"1,309","1,523","1,586","1,653","1,707"
4. Chi phí hoạt động dịch vụ,447,410,441,583,382
II. Lãi/lỗ thuần từ hoạt động dịch vụ,862,"1,113","1,145","1,069","1,325"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-28,-30,46,13,66
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,73,93,128,28,135
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,557,235,204,501,612
5. Thu nhập từ hoạt động khác,"1,172","1,270","1,653","1,352","1,291"
6. Chi phí hoạt động khác,818,862,827,699,620
VI. Lãi/lỗ thuần từ hoạt động khác,354,408,827,653,671
"VII. Thu nhập từ góp vốn, mua cổ phần",,0,0,4,0
VIII. Chi phí hoạt động,"2,138","1,697","2,489","2,307","2,563"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,893","4,056","5,008","5,455","6,369"
X. Chi phí dự phòng rủi ro tín dụng,772,439,"1,034",366,851
XI. Tổng lợi nhuận trước thuế (IX-X),"3,121","3,617","3,974","5,089","5,518"
7. Chi phí thuế TNDN hiện hành,615,728,794,"1,081","1,042"
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,615,728,794,"1,081","1,042"
XIII. Lợi nhuận sau thuế (XI-XII),"2,506","2,889","3,180","4,008","4,476"
XIV. Lợi ích của cổ đông thiểu số,50,72,81,54,79
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,456","2,817","3,099","3,953","4,397"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
