TCB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,291","2,123","2,469","2,277","2,724"
II. Tiền gửi tại NHNN,"2,831",699,"2,067","2,735","1,168"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","15,421","13,972","16,533","17,879","18,922"
"1. Tiền, vàng gửi tại các TCTD khác","11,857","8,609","9,795","11,505","9,588"
2. Cho vay các TCTD khác,"3,599","5,393","6,782","6,474","9,344"
3. Dự phòng rủi ro cho vay các TCTD khác,-35,-29,-45,-99,-10
IV. Chứng khoán kinh doanh,920,"1,337","2,443","1,354","2,086"
1. Chứng khoán kinh doanh,921,"1,339","2,449","1,358","2,089"
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,-1,-5,-4,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,,,,
VI. Cho vay khách hàng,"69,089","70,583","72,900","70,533","79,348"
1. Cho vay và cho thuê tài chính khách hàng,"70,275","71,858","74,022","71,489","80,308"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,186","-1,275","-1,122",-956,-960
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"49,846","56,410","56,608","58,444","54,979"
1. Chứng khoán đầu tư sẵn sàng để bán,"46,170","52,854","52,927","54,361","49,704"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,694","3,663","4,203","4,800","6,198"
3. Dự phòng giảm giá chứng khoán đầu tư,-18,-106,-523,-717,-923
"VIII. Góp vốn, đầu tư dài hạn",129,125,123,123,694
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,129,129,129,129,698
4. Dự phòng giảm giá đầu tư dài hạn,-4,-5,-5,-4,
IX. Tài sản cố định,"1,033",981,"1,022",996,"1,037"
1. Tài sản cố định hữu hình,657,620,670,643,657
a. Nguyên giá TSCĐ,"1,234","1,226","1,312","1,317","1,361"
