TCB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"14,445","14,507","15,349","15,168","15,065"
2. Chi phí lãi và các chi phí tương tự,"6,848","6,008","5,871","6,240","6,463"
I. Thu nhập lãi thuần,"7,597","8,500","9,478","8,929","8,602"
3. Thu nhập từ hoạt động dịch vụ,"3,204","2,835","3,190","2,675","2,262"
4. Chi phí hoạt động dịch vụ,708,663,728,728,799
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"2,496","2,171","2,461","1,947","1,463"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,313,544,411,61,-424
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,32,-23,103,-1,2
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,248,"1,073",647,389,250
5. Thu nhập từ hoạt động khác,"1,224","1,487","1,968","1,986","3,884"
6. Chi phí hoạt động khác,915,"1,490","1,707","1,564","4,222"
VI. Lãi/lỗ thuần từ hoạt động khác,309,-3,261,423,-338
"VII. Thu nhập từ góp vốn, mua cổ phần",24,0,58,6,0
VIII. Chi phí hoạt động,"3,610","3,249","3,949","3,431","4,741"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,407","9,013","9,471","8,323","4,814"
X. Chi phí dự phòng rủi ro tín dụng,"1,634","1,211","1,644","1,109",118
XI. Tổng lợi nhuận trước thuế (IX-X),"5,773","7,802","7,827","7,214","4,696"
7. Chi phí thuế TNDN hiện hành,"1,295","1,524","1,559","1,422","1,282"
8. Chi phí thuế TNDN hoãn lại,-4,1,-2,-1,-6
XII. Chi phí thuế TNDN,"1,291","1,525","1,557","1,421","1,276"
XIII. Lợi nhuận sau thuế (XI-XII),"4,482","6,277","6,270","5,793","3,420"
XIV. Lợi ích của cổ đông thiểu số,43,56,77,56,49
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"4,439","6,221","6,193","5,738","3,371"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
