TCB,Q2/2012,Q3/2012,Q4/2012,Q1/2013,Q2/2013
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","5,853","6,523","4,529","3,669","2,999"
II. Tiền gửi tại NHNN,"2,487","5,884","5,577","3,753","5,447"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","38,513","28,783","31,256","25,109","25,681"
"1. Tiền, vàng gửi tại các TCTD khác","38,161","28,370","21,114","22,030","24,337"
2. Cho vay các TCTD khác,364,416,"10,196","3,113","1,362"
3. Dự phòng rủi ro cho vay các TCTD khác,-12,-3,-54,-34,-18
IV. Chứng khoán kinh doanh,451,159,769,"1,454","1,461"
1. Chứng khoán kinh doanh,515,221,800,"1,469","1,474"
2. Dự phòng giảm giá chứng khoán kinh doanh,-64,-62,-31,-16,-13
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,41,107,114,
VI. Cho vay khách hàng,"61,714","60,456","67,134","66,989","68,593"
1. Cho vay và cho thuê tài chính khách hàng,"62,649","61,309","68,261","68,436","69,865"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-935,-852,"-1,127","-1,448","-1,272"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"47,042","49,210","46,654","47,467","43,897"
1. Chứng khoán đầu tư sẵn sàng để bán,"43,315","45,696","43,896","45,615","42,463"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,869","3,817","3,092","2,146","1,733"
3. Dự phòng giảm giá chứng khoán đầu tư,-142,-303,-334,-294,-299
"VIII. Góp vốn, đầu tư dài hạn",92,93,93,93,93
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,92,93,93,93,93
4. Dự phòng giảm giá đầu tư dài hạn,0,,,,
IX. Tài sản cố định,"1,240","1,257","1,146","1,125","1,033"
1. Tài sản cố định hữu hình,961,955,820,793,706
a. Nguyên giá TSCĐ,"1,359","1,390","1,272","1,286","1,177"
b. Hao mòn TSCĐ,-398,-436,-452,-493,-471
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,278,302,327,333,327
a. Nguyên giá TSCĐ,371,406,445,465,473
b. Hao mòn TSCĐ,-93,-104,-118,-132,-146
X. Bất động sản đầu tư,25,"1,339","1,329","1,321","1,313"
a. Nguyên giá BĐSĐT,26,"1,350","1,354","1,354","1,354"
b. Hao mòn BĐSĐT,0,-11,-25,-33,-42
"XI. Tài sản ""Có"" khác","22,374","24,563","21,204","24,776","20,814"
1. Các khoản phải thu,"14,925","16,676","15,869","17,084","13,414"
"2. Các khoản lãi, phí phải thu","5,198","5,643","5,074","5,874","6,986"
3. Tài sản thuế TNDN hoãn lại,12,8,6,34,31
4. Tài sản Có khác,"2,239","2,235",298,"1,826",426
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,-43,-43,-43
TỔNG CỘNG TÀI SẢN,"179,792","178,267","179,733","175,863","171,444"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,900",,,,
