TCB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,137","2,344","3,671","3,590","4,042"
II. Tiền gửi tại NHNN,"3,605","4,318","3,524","3,212","5,583"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","21,637","30,117","31,985","51,322","43,737"
"1. Tiền, vàng gửi tại các TCTD khác","10,636","16,205","16,918","37,976","27,667"
2. Cho vay các TCTD khác,"11,002","13,913","15,067","13,345","16,070"
3. Dự phòng rủi ro cho vay các TCTD khác,0,,,,
IV. Chứng khoán kinh doanh,"6,326","6,758","3,571","7,356","5,576"
1. Chứng khoán kinh doanh,"6,335","6,775","3,579","7,373","5,587"
2. Dự phòng giảm giá chứng khoán kinh doanh,-8,-17,-9,-17,-10
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,82,36,114,,
VI. Cho vay khách hàng,"135,565","158,964","161,611","164,182","164,282"
1. Cho vay và cho thuê tài chính khách hàng,"137,373","160,849","163,948","166,701","166,939"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,807","-1,885","-2,338","-2,519","-2,657"
VII. Hoạt động mua nợ,17,10,,,
1. Mua nợ,18,12,2,2,
2. Dự phòng rủi ro hoạt động mua nợ,-1,-2,-2,-2,
VII. Chứng khoán đầu tư,"47,264","51,542","53,510","54,619","69,000"
1. Chứng khoán đầu tư sẵn sàng để bán,"42,224","46,018","47,517","50,610","53,276"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"5,206","5,715","6,205","4,171","15,986"
3. Dự phòng giảm giá chứng khoán đầu tư,-166,-191,-212,-163,-262
"VIII. Góp vốn, đầu tư dài hạn",10,10,10,12,12
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,12,12,12,13,13
4. Dự phòng giảm giá đầu tư dài hạn,-2,-2,-2,-1,-1
IX. Tài sản cố định,"1,461","1,511","1,483","1,489","1,586"
1. Tài sản cố định hữu hình,501,570,562,590,653
a. Nguyên giá TSCĐ,"1,530","1,603","1,623","1,652","1,730"
b. Hao mòn TSCĐ,"-1,029","-1,033","-1,061","-1,062","-1,077"
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,960,942,921,899,933
a. Nguyên giá TSCĐ,"1,443","1,450","1,453","1,457","1,516"
b. Hao mòn TSCĐ,-482,-508,-532,-558,-583
X. Bất động sản đầu tư,"1,247","1,238","1,228","1,214","1,205"
