TCB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,495","2,559","2,758","2,754","2,750"
II. Tiền gửi tại NHNN,"4,652","1,279","3,896","1,603","4,217"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","17,543","19,272","13,175","14,762","17,002"
"1. Tiền, vàng gửi tại các TCTD khác","7,004","8,913","7,407","7,487","6,042"
2. Cho vay các TCTD khác,"10,549","10,359","5,767","7,275","10,960"
3. Dự phòng rủi ro cho vay các TCTD khác,-10,,,,
IV. Chứng khoán kinh doanh,"1,127","1,789","4,314","2,592","3,202"
1. Chứng khoán kinh doanh,"1,129","1,797","4,322","2,601","3,211"
2. Dự phòng giảm giá chứng khoán kinh doanh,-2,-8,-8,-9,-8
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"87,613","89,877","92,796","110,461","112,736"
1. Cho vay và cho thuê tài chính khách hàng,"88,720","90,900","93,925","111,626","114,024"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,108","-1,023","-1,129","-1,164","-1,288"
VII. Hoạt động mua nợ,36,424,391,371,
1. Mua nợ,38,429,395,375,
2. Dự phòng rủi ro hoạt động mua nợ,-2,-5,-4,-4,
VII. Chứng khoán đầu tư,"49,442","43,305","43,018","44,302","45,512"
1. Chứng khoán đầu tư sẵn sàng để bán,"44,328","37,595","37,073","38,528","40,204"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"6,101","6,695","6,922","6,902","6,574"
3. Dự phòng giảm giá chứng khoán đầu tư,-987,-984,-978,"-1,129","-1,266"
"VIII. Góp vốn, đầu tư dài hạn",639,634,597,597,597
1. Đầu tư vào công ty con,,,,,
